Entry,Entry name,Status,Protein names,Gene names,Organism,Length
P41216,ACSL1_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Phytanate--CoA ligase) (EC 6.2.1.24),Acsl1 Acsl2 Facl2,Mus musculus (Mouse),699
A2ADU9,AWAT1_MOUSE,reviewed,Acyl-CoA wax alcohol acyltransferase 1 (EC 2.3.1.75) (Diacylglycerol O-acyltransferase 2-like protein 3) (Long-chain-alcohol O-fatty-acyltransferase 1),Awat1 Dgat2l3,Mus musculus (Mouse),328
P35564,CALX_MOUSE,reviewed,Calnexin,Canx,Mus musculus (Mouse),591
O09165,CASQ1_MOUSE,reviewed,"Calsequestrin-1 (Calmitine) (Calsequestrin, skeletal muscle isoform)",Casq1,Mus musculus (Mouse),405
Q80TI0,ASTRB_MOUSE,reviewed,Protein Aster-B (GRAM domain-containing protein 1B),Gramd1b Kiaa1201,Mus musculus (Mouse),738
Q9EPE9,AT131_MOUSE,reviewed,Manganese-transporting ATPase 13A1 (CATP) (EC 7.2.2.-),Atp13a1 Atp13a,Mus musculus (Mouse),1200
Q61335,BAP31_MOUSE,reviewed,B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (p28),Bcap31 Bap31,Mus musculus (Mouse),245
Q9D2C7,BI1_MOUSE,reviewed,Bax inhibitor 1 (BI-1) (Testis-enhanced gene transcript protein) (Transmembrane BAX inhibitor motif-containing protein 6),Tmbim6 Tegt,Mus musculus (Mouse),237
Q9D0L7,ARM10_MOUSE,reviewed,Armadillo repeat-containing protein 10,Armc10,Mus musculus (Mouse),306
Q8BHT6,B3GLT_MOUSE,reviewed,"Beta-1,3-glucosyltransferase (Beta3Glc-T) (EC 2.4.1.-) (Beta 3-glucosyltransferase) (Beta-3-glycosyltransferase-like)",B3glct B3galtl Gm1057,Mus musculus (Mouse),489
Q9Z2E9,BSCL2_MOUSE,reviewed,Seipin (Bernardinelli-Seip congenital lipodystrophy type 2 protein homolog),Bscl2 Gng3lg MNCb-2630,Mus musculus (Mouse),383
P70343,CASP4_MOUSE,reviewed,Caspase-4 (CASP-4) (EC 3.4.22.64) (Caspase-11) (CASP-11) (Protease ICH-3) [Cleaved into: Caspase-4 subunit p10; Caspase-4 subunit p20],Casp4 Casp11 Caspl Ich3,Mus musculus (Mouse),373
P18572,BASI_MOUSE,reviewed,Basigin (Basic immunoglobulin superfamily) (HT7 antigen) (Membrane glycoprotein gp42) (CD antigen CD147),Bsg,Mus musculus (Mouse),389
P47934,CACP_MOUSE,reviewed,Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.137) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT),Crat,Mus musculus (Mouse),626
Q99L43,CDS2_MOUSE,reviewed,Phosphatidate cytidylyltransferase 2 (EC 2.7.7.41) (CDP-DAG synthase 2) (CDP-DG synthase 2) (CDP-diacylglycerol synthase 2) (CDS 2) (CDP-diglyceride pyrophosphorylase 2) (CDP-diglyceride synthase 2) (CTP:phosphatidate cytidylyltransferase 2),Cds2,Mus musculus (Mouse),444
Q69Z98,BRSK2_MOUSE,reviewed,Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase SAD-A),Brsk2 Kiaa4256 Sada,Mus musculus (Mouse),735
Q8BG28,B3GL2_MOUSE,reviewed,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.313) (Beta-1,3-N-acetylgalactosaminyltransferase II)",B3galnt2,Mus musculus (Mouse),504
P14211,CALR_MOUSE,reviewed,Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP),Calr,Mus musculus (Mouse),416
O54724,CAVN1_MOUSE,reviewed,Caveolae-associated protein 1 (Cav-p60) (Cavin-1) (Polymerase I and transcript release factor),Cavin1 Ptrf,Mus musculus (Mouse),392
P98197,AT11A_MOUSE,reviewed,Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A),Atp11a,Mus musculus (Mouse),1187
Q9JL18,BACE2_MOUSE,reviewed,Beta-secretase 2 (EC 3.4.23.45) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase),Bace2,Mus musculus (Mouse),514
O08715,AKAP1_MOUSE,reviewed,"A-kinase anchor protein 1, mitochondrial (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein) (S-AKAP)",Akap1 Akap,Mus musculus (Mouse),857
Q8BHH1,AQP11_MOUSE,reviewed,Aquaporin-11 (AQP-11),Aqp11,Mus musculus (Mouse),271
P56983,TM14A_MOUSE,reviewed,Transmembrane protein 14A,Tmem14a,Mus musculus (Mouse),99
Q63886,UD11_MOUSE,reviewed,UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-1) (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1) (UGTBR1),Ugt1a1 Ugt1,Mus musculus (Mouse),535
P59268,ZDHC9_MOUSE,reviewed,Palmitoyltransferase ZDHHC9 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 9) (DHHC-9) (DHHC9),Zdhhc9,Mus musculus (Mouse),364
Q64337,SQSTM_MOUSE,reviewed,Sequestosome-1 (STONE14) (Ubiquitin-binding protein p62),Sqstm1 A170 STAP,Mus musculus (Mouse),442
Q9CQU0,TXD12_MOUSE,reviewed,Thioredoxin domain-containing protein 12 (EC 1.8.4.2) (Endoplasmic reticulum resident protein 19) (ER protein 19) (ERp19) (Thioredoxin-like protein p19),Txndc12 Tlp19,Mus musculus (Mouse),170
Q5D1E7,ZC12A_MOUSE,reviewed,Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A),Zc3h12a Mcpip Mcpip1,Mus musculus (Mouse),596
Q6P5E4,UGGG1_MOUSE,reviewed,UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1),Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr,Mus musculus (Mouse),1551
Q9R0P9,UCHL1_MOUSE,reviewed,Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (Neuron cytoplasmic protein 9.5) (PGP 9.5) (PGP9.5) (Ubiquitin thioesterase L1),Uchl1,Mus musculus (Mouse),223
Q921J2,RHEB_MOUSE,reviewed,GTP-binding protein Rheb (Ras homolog enriched in brain),Rheb,Mus musculus (Mouse),184
Q8BP31,RN122_MOUSE,reviewed,RING finger protein 122,Rnf122,Mus musculus (Mouse),155
P47911,RL6_MOUSE,reviewed,60S ribosomal protein L6 (TAX-responsive enhancer element-binding protein 107) (TAXREB107),Rpl6,Mus musculus (Mouse),296
P62855,RS26_MOUSE,reviewed,40S ribosomal protein S26,Rps26,Mus musculus (Mouse),115
Q9CQC9,SAR1B_MOUSE,reviewed,GTP-binding protein SAR1b,Sar1b Sara1b Sara2,Mus musculus (Mouse),198
Q99N99,S5A2_MOUSE,reviewed,3-oxo-5-alpha-steroid 4-dehydrogenase 2 (EC 1.3.1.22) (5 alpha-SR2) (SR type 2) (Steroid 5-alpha-reductase 2) (S5AR 2),Srd5a2 5art2,Mus musculus (Mouse),254
Q9D1M0,SEC13_MOUSE,reviewed,Protein SEC13 homolog (GATOR complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein),Sec13 Sec13l1,Mus musculus (Mouse),322
Q9CPZ6,ORML3_MOUSE,reviewed,ORM1-like protein 3,Ormdl3,Mus musculus (Mouse),153
Q8BVF2,PDCL3_MOUSE,reviewed,Phosducin-like protein 3 (Viral IAP-associated factor 1) (VIAF-1),Pdcl3 Viaf1,Mus musculus (Mouse),240
Q91WB4,PKHF2_MOUSE,reviewed,Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2),Plekhf2,Mus musculus (Mouse),249
P08003,PDIA4_MOUSE,reviewed,Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72),Pdia4 Cai Erp72,Mus musculus (Mouse),638
P61027,RAB10_MOUSE,reviewed,Ras-related protein Rab-10 (EC 3.6.5.2),Rab10,Mus musculus (Mouse),200
Q68FL4,SAHH3_MOUSE,reviewed,Putative adenosylhomocysteinase 3 (AdoHcyase 3) (EC 3.3.1.1) (Long-IRBIT) (S-adenosyl-L-homocysteine hydrolase 3) (S-adenosylhomocysteine hydrolase-like protein 2),Ahcyl2,Mus musculus (Mouse),613
Q8CIW6,S26A6_MOUSE,reviewed,Solute carrier family 26 member 6 (Anion exchange transporter) (Chloride-formate exchanger) (Pendrin-L1) (Pendrin-like protein 1) (Putative anion transporter-1) (Pat-1),Slc26a6 Cfex Pat1,Mus musculus (Mouse),758
Q91VT8,SIM14_MOUSE,reviewed,Small integral membrane protein 14,Smim14,Mus musculus (Mouse),99
O70551,SRPK1_MOUSE,reviewed,SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1),Srpk1,Mus musculus (Mouse),648
Q8BJQ4,TCAM2_MOUSE,reviewed,TIR domain-containing adapter molecule 2 (TICAM-2) (TRIF-related adapter molecule) (Toll/interleukin-1 receptor domain-containing protein),Ticam2 Tirp Tram,Mus musculus (Mouse),232
Q05186,RCN1_MOUSE,reviewed,Reticulocalbin-1,Rcn1 Rca1 Rcn,Mus musculus (Mouse),325
Q6PIX5,RHDF1_MOUSE,reviewed,Inactive rhomboid protein 1 (iRhom1) (Epidermal growth factor receptor-related protein) (Rhomboid family member 1),Rhbdf1 Dist1 Irhom1 Kiaa4242,Mus musculus (Mouse),856
O88822,SC5D_MOUSE,reviewed,Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase),Sc5d Sc5dl,Mus musculus (Mouse),299
Q6GQT6,SCAP_MOUSE,reviewed,Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein),Scap Kiaa0199,Mus musculus (Mouse),1276
Q9DBG7,SRPRA_MOUSE,reviewed,Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha),Srpra Srpr,Mus musculus (Mouse),636
Q8BPG6,SUMF2_MOUSE,reviewed,Inactive C-alpha-formylglycine-generating enzyme 2 (Sulfatase-modifying factor 2),Sumf2,Mus musculus (Mouse),308
Q8C7E7,STBD1_MOUSE,reviewed,Starch-binding domain-containing protein 1 (Genethonin-1) (Glycophagy cargo receptor stbd1),Stbd1 D5Ertd593e,Mus musculus (Mouse),338
Q9DBY1,SYVN1_MOUSE,reviewed,E3 ubiquitin-protein ligase synoviolin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase synoviolin) (Synovial apoptosis inhibitor 1),Syvn1 Hrd1 Kiaa1810,Mus musculus (Mouse),612
Q78IS1,TMED3_MOUSE,reviewed,Transmembrane emp24 domain-containing protein 3 (p24 family protein gamma-4) (p24gamma4),Tmed3,Mus musculus (Mouse),221
Q8R1V4,TMED4_MOUSE,reviewed,Transmembrane emp24 domain-containing protein 4 (Endoplasmic reticulum stress-response protein 25) (ERS25) (p24 family protein alpha-3) (p24alpha3) (p26),Tmed4 Ers25,Mus musculus (Mouse),227
Q8BH97,RCN3_MOUSE,reviewed,Reticulocalbin-3,Rcn3 D7Ertd671e,Mus musculus (Mouse),328
P61358,RL27_MOUSE,reviewed,60S ribosomal protein L27,Rpl27,Mus musculus (Mouse),136
Q9DBG6,RPN2_MOUSE,reviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (Ribophorin II) (RPN-II) (Ribophorin-2),Rpn2,Mus musculus (Mouse),631
Q9CQY8,T4S20_MOUSE,reviewed,Transmembrane 4 L6 family member 20,Tm4sf20,Mus musculus (Mouse),226
G5E897,PLGT3_MOUSE,reviewed,Protein O-glucosyltransferase 3 (EC 2.4.1.-) (KDEL motif-containing protein 2) (Protein O-xylosyltransferase POGLUT3) (EC 2.4.2.-),Poglut3 Kdelc2,Mus musculus (Mouse),503
Q8BHC7,RHBL4_MOUSE,reviewed,Rhomboid-related protein 4 (RRP4) (EC 3.4.21.105) (Rhomboid domain-containing protein 1) (mRHBDD1) (Rhomboid-like protein 4),Rhbdd1 Rhbdl4 MSD-50 MSD50,Mus musculus (Mouse),315
Q61144,PSN2_MOUSE,reviewed,Presenilin-2 (PS-2) (EC 3.4.23.-) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit],Psen2 Ad4h Alg3 Ps-2 Psnl2,Mus musculus (Mouse),448
Q8K072,REEP4_MOUSE,reviewed,Receptor expression-enhancing protein 4,Reep4,Mus musculus (Mouse),257
Q8K0T0,RTN1_MOUSE,reviewed,Reticulon-1 (Neuroendocrine-specific protein),Rtn1 Nsp,Mus musculus (Mouse),780
Q9R0P6,SC11A_MOUSE,reviewed,Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18) (Sid 2895),Sec11a Sec11l1 Sid2895 Spc18,Mus musculus (Mouse),179
Q91VE0,S27A4_MOUSE,reviewed,Long-chain fatty acid transport protein 4 (FATP-4) (Fatty acid transport protein 4) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.-) (Solute carrier family 27 member 4) (Very long-chain acyl-CoA synthetase 4) (ACSVL4),Slc27a4 Acsvl4 Fatp4,Mus musculus (Mouse),643
Q68FF9,S5A1_MOUSE,reviewed,3-oxo-5-alpha-steroid 4-dehydrogenase 1 (EC 1.3.1.22) (SR type 1) (Steroid 5-alpha-reductase 1) (S5AR 1),Srd5a1,Mus musculus (Mouse),255
P62342,SELT_MOUSE,reviewed,Thioredoxin reductase-like selenoprotein T (SelT) (EC 1.8.1.9),Selenot Selt,Mus musculus (Mouse),195
Q5SWK7,RN145_MOUSE,reviewed,RING finger protein 145 (EC 2.3.2.27),Rnf145,Mus musculus (Mouse),663
O08992,SDCB1_MOUSE,reviewed,Syntenin-1 (Scaffold protein Pbp1) (Syndecan-binding protein 1),Sdcbp,Mus musculus (Mouse),299
Q8R207,SPTSA_MOUSE,reviewed,Serine palmitoyltransferase small subunit A (Small subunit of serine palmitoyltransferase A) (ssSPTa),Sptssa Ssspta,Mus musculus (Mouse),71
O88307,SORL_MOUSE,reviewed,Sortilin-related receptor (Gp250) (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (mSorLA),Sorl1,Mus musculus (Mouse),2215
Q3UV71,TMTC1_MOUSE,reviewed,Protein O-mannosyl-transferase TMTC1 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 1),Tmtc1,Mus musculus (Mouse),942
Q8R138,TM119_MOUSE,reviewed,Transmembrane protein 119 (Osteoblast induction factor) (OBIF),Tmem119,Mus musculus (Mouse),280
Q9DAN1,PDILT_MOUSE,reviewed,Protein disulfide-isomerase-like protein of the testis,Pdilt,Mus musculus (Mouse),588
Q3UUQ7,PGAP1_MOUSE,reviewed,GPI inositol-deacylase (EC 3.1.-.-) (Post-GPI attachment to proteins factor 1),Pgap1,Mus musculus (Mouse),922
Q80U04,PJA2_MOUSE,reviewed,E3 ubiquitin-protein ligase Praja-2 (Praja2) (EC 2.3.2.27) (RING finger protein 131) (RING-type E3 ubiquitin transferase Praja-2),Pja2 Kiaa0438 Rnf131,Mus musculus (Mouse),707
Q00LT2,PRCD_MOUSE,reviewed,Photoreceptor disk component PRCD (Progressive rod-cone degeneration protein homolog),Prcd Gm11744,Mus musculus (Mouse),53
Q8VHC3,SELM_MOUSE,reviewed,Selenoprotein M (SelM),Selenom,Mus musculus (Mouse),145
P56198,CIDEC_MOUSE,reviewed,Cell death activator CIDE-3 (Cell death-inducing DFFA-like effector protein C) (Fat-specific protein FSP27),Cidec Fsp27,Mus musculus (Mouse),239
Q8K2A8,ALG3_MOUSE,reviewed,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3 homolog) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (Not56-like protein)",Alg3 Not Not56l,Mus musculus (Mouse),438
O35744,CHIL3_MOUSE,reviewed,Chitinase-like protein 3 (EC 3.2.1.52) (Beta-N-acetylhexosaminidase Ym1) (Chitinase-3-like protein 3) (ECF-L) (Eosinophil chemotactic cytokine) (Secreted protein Ym1),Chil3 Chi3l3 Ym1,Mus musculus (Mouse),398
Q8BMK4,CKAP4_MOUSE,reviewed,Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63),Ckap4,Mus musculus (Mouse),575
Q91X77,CY250_MOUSE,reviewed,Cytochrome P450 2C50 (EC 1.14.14.1) (CYPIIC50),Cyp2c50,Mus musculus (Mouse),490
Q9CZW4,ACSL3_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3),Acsl3 Acs3 Facl3,Mus musculus (Mouse),720
Q9JHG0,CBLN3_MOUSE,reviewed,Cerebellin-3,Cbln3,Mus musculus (Mouse),197
P56203,CATW_MOUSE,reviewed,Cathepsin W (EC 3.4.22.-) (Lymphopain),Ctsw,Mus musculus (Mouse),371
Q8VE99,CC115_MOUSE,reviewed,Coiled-coil domain-containing protein 115 (Coiled-coil protein 1) (Ccp1),Ccdc115,Mus musculus (Mouse),180
P61022,CHP1_MOUSE,reviewed,Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22) (Sid 470) (p24),Chp1 Chp Sid470,Mus musculus (Mouse),195
Q8BH52,CR3L2_MOUSE,reviewed,Cyclic AMP-responsive element-binding protein 3-like protein 2 (cAMP-responsive element-binding protein 3-like protein 2) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 2],Creb3l2 Bbf2h7,Mus musculus (Mouse),521
C0HK80,ARXS2_MOUSE,reviewed,Adipocyte-related X-chromosome expressed sequence 2,Arxes2,Mus musculus (Mouse),180
Q8K2X1,AT10D_MOUSE,reviewed,Probable phospholipid-transporting ATPase VD (EC 7.6.2.1) (ATPase class V type 10D) (P4-ATPase flippase complex alpha subunit ATP10D),Atp10d,Mus musculus (Mouse),1416
Q6E1M8,AWAT2_MOUSE,reviewed,Acyl-CoA wax alcohol acyltransferase 2 (EC 2.3.1.75) (11-cis-specific retinyl-ester synthase) (11-cis-RE-synthase) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diacylglycerol O-acyltransferase 2-like protein 4) (Long-chain-alcohol O-fatty-acyltransferase 2) (Wax synthase) (mWS),Awat2 Dgat2l4 Ws,Mus musculus (Mouse),333
Q8WUR0,CS012_MOUSE,reviewed,Protein C19orf12 homolog,,Mus musculus (Mouse),141
Q91WL5,CP4CA_MOUSE,reviewed,Cytochrome P450 4A12A (EC 1.14.14.1) (CYPIVA12),Cyp4a12a Cyp4a12,Mus musculus (Mouse),508
Q8VEF1,ASTRA_MOUSE,reviewed,Protein Aster-A (GRAM domain-containing protein 1A),Gramd1a D7Bwg0611e Kiaa1533,Mus musculus (Mouse),722
D3Z291,CAHM1_MOUSE,reviewed,Calcium homeostasis modulator protein 1,Calhm1,Mus musculus (Mouse),348
Q8CGZ0,CHERP_MOUSE,reviewed,Calcium homeostasis endoplasmic reticulum protein (SR-related CTD-associated factor 6),Cherp Scaf6,Mus musculus (Mouse),936
Q06890,CLUS_MOUSE,reviewed,Clusterin (Apolipoprotein J) (Apo-J) (Clustrin) (Sulfated glycoprotein 2) (SGP-2) [Cleaved into: Clusterin beta chain; Clusterin alpha chain],Clu Apoj Msgp-2,Mus musculus (Mouse),448
Q91XE9,CR3L3_MOUSE,reviewed,Cyclic AMP-responsive element-binding protein 3-like protein 3 (cAMP-responsive element-binding protein 3-like protein 3) (Transcription factor CREB-H) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 3],Creb3l3 Crebh,Mus musculus (Mouse),479
Q6P1H6,ANKL2_MOUSE,reviewed,Ankyrin repeat and LEM domain-containing protein 2 (LEM domain-containing protein 4),Ankle2 D5Ertd585e Kiaa0692 Lem4,Mus musculus (Mouse),964
O35425,BOK_MOUSE,reviewed,Bcl-2-related ovarian killer protein (Apoptosis activator Mtd) (Protein matador),Bok Mtd,Mus musculus (Mouse),213
Q8C7V8,CC134_MOUSE,reviewed,Coiled-coil domain-containing protein 134,Ccdc134,Mus musculus (Mouse),229
P03940,CP21A_MOUSE,reviewed,Steroid 21-hydroxylase (EC 1.14.14.16) (21-OHase) (Cytochrome P-450c21) (Cytochrome P450 21) (Cytochrome P450 XXI) (Cytochrome P450-C21),Cyp21 Cyp21a-1 Cyp21a1,Mus musculus (Mouse),487
Q9D2A5,CR3L4_MOUSE,reviewed,Cyclic AMP-responsive element-binding protein 3-like protein 4 (cAMP-responsive element-binding protein 3-like protein 4) (Attaching to CRE-like 1) (ATCE1) (Acre1) (Transcript induced in spermiogenesis protein 40) (Tisp40) (mJAL) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 4],Creb3l4 Atce1 Jal Tisp40,Mus musculus (Mouse),370
Q3TP92,CNEP1_MOUSE,reviewed,CTD nuclear envelope phosphatase 1 (EC 3.1.3.16) (Serine/threonine-protein phosphatase dullard),Ctdnep1 Dullard,Mus musculus (Mouse),244
Q3TZM9,ALG11_MOUSE,reviewed,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Asparagine-linked glycosylation protein 11 homolog) (Glycolipid 2-alpha-mannosyltransferase)",Alg11,Mus musculus (Mouse),492
Q3TAE8,ALG6_MOUSE,reviewed,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6 homolog) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)",Alg6,Mus musculus (Mouse),507
Q924Z4,CERS2_MOUSE,reviewed,Ceramide synthase 2 (CerS2) (EC 2.3.1.-) (LAG1 longevity assurance homolog 2) (Sphingosine N-acyltransferase CERS2) (EC 2.3.1.24) (Translocating chain-associating membrane protein homolog 3) (TRAM homolog 3),Cers2 Lass2 Trh3,Mus musculus (Mouse),380
Q9QUK3,CLN8_MOUSE,reviewed,Protein CLN8,Cln8,Mus musculus (Mouse),288
Q8CDJ3,BAKOR_MOUSE,reviewed,Beclin 1-associated autophagy-related key regulator (Barkor) (Autophagy-related protein 14-like protein) (Atg14L),Atg14 Atg14L D14Ertd436e Kiaa0831,Mus musculus (Mouse),492
Q9Z0F3,B2L10_MOUSE,reviewed,Bcl-2-like protein 10 (Bcl2-L-10) (Anti-apoptotic protein Boo) (Apoptosis regulator Bcl-B) (Bcl-2 homolog Diva),Bcl2l10 Boo Diva,Mus musculus (Mouse),191
Q91WE6,CDKAL_MOUSE,reviewed,Threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5) (CDK5 regulatory subunit-associated protein 1-like 1) (tRNA-t(6)A37 methylthiotransferase),Cdkal1,Mus musculus (Mouse),578
Q8BGS7,CEPT1_MOUSE,reviewed,Choline/ethanolaminephosphotransferase 1 (mCEPT1) (EC 2.7.8.1) (EC 2.7.8.2),Cept1,Mus musculus (Mouse),416
Q99PU5,ACBG1_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase ACSBG1 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 1) (mBG1) (Gonadotropin-regulated long chain acyl CoA synthetase) (GR-LACS) (Lipidosin),Acsbg1 Kiaa0631 Lpd,Mus musculus (Mouse),721
