Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Subcellular location [CC]	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)
Q7TQF7	reviewed	AMPH_MOUSE	Amphiphysin	Amph Amph1	Mus musculus (Mouse)	686	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}.	learning [GO:0007612]; positive regulation of endocytosis [GO:0045807]; positive regulation of GTPase activity [GO:0043547]; synaptic vesicle endocytosis [GO:0048488]	axon terminus [GO:0043679]; cytoskeleton [GO:0005856]; extrinsic component of synaptic vesicle membrane [GO:0098850]; glutamatergic synapse [GO:0098978]; leading edge membrane [GO:0031256]; photoreceptor ribbon synapse [GO:0098684]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; presynaptic endocytic zone [GO:0098833]; synaptic vesicle [GO:0008021]	phosphatase binding [GO:0019902]; phospholipid binding [GO:0005543]; protein-containing complex binding [GO:0044877]	axon terminus [GO:0043679]; cytoskeleton [GO:0005856]; extrinsic component of synaptic vesicle membrane [GO:0098850]; glutamatergic synapse [GO:0098978]; leading edge membrane [GO:0031256]; photoreceptor ribbon synapse [GO:0098684]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; presynaptic endocytic zone [GO:0098833]; synaptic vesicle [GO:0008021]; phosphatase binding [GO:0019902]; phospholipid binding [GO:0005543]; protein-containing complex binding [GO:0044877]; learning [GO:0007612]; positive regulation of endocytosis [GO:0045807]; positive regulation of GTPase activity [GO:0043547]; synaptic vesicle endocytosis [GO:0048488]
Q7TSI1	reviewed	PKHM1_MOUSE	Pleckstrin homology domain-containing family M member 1 (PH domain-containing family M member 1)	Plekhm1	Mus musculus (Mouse)	1074	SUBCELLULAR LOCATION: Autolysosome membrane {ECO:0000250|UniProtKB:Q9Y4G2}. Endosome membrane {ECO:0000250|UniProtKB:Q9Y4G2}. Late endosome membrane {ECO:0000250|UniProtKB:Q9Y4G2}. Lysosome membrane {ECO:0000250|UniProtKB:Q9Y4G2}. Note=In case of infection colocalizes with Salmonella typhimurium sifA in proximity of Salmonella-containing vacuole (SCV). {ECO:0000250|UniProtKB:Q9Y4G2}.	autophagosome-lysosome fusion [GO:0061909]; late endosome to lysosome transport [GO:1902774]; lysosome localization [GO:0032418]; positive regulation of bone resorption [GO:0045780]; positive regulation of ruffle assembly [GO:1900029]; protein transport [GO:0015031]	autolysosome [GO:0044754]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; nucleolus [GO:0005730]	metal ion binding [GO:0046872]	autolysosome [GO:0044754]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; nucleolus [GO:0005730]; metal ion binding [GO:0046872]; autophagosome-lysosome fusion [GO:0061909]; late endosome to lysosome transport [GO:1902774]; lysosome localization [GO:0032418]; positive regulation of bone resorption [GO:0045780]; positive regulation of ruffle assembly [GO:1900029]; protein transport [GO:0015031]
Q7TSJ2	reviewed	MAP6_MOUSE	Microtubule-associated protein 6 (MAP-6) (Stable tubule-only polypeptide) (STOP)	Map6 Mtap6	Mus musculus (Mouse)	906	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9600916}. Golgi apparatus {ECO:0000269|PubMed:16837464}. Cell projection, axon {ECO:0000250|UniProtKB:Q63560}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q63560}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:Q63560}; Lipid-anchor {ECO:0000250|UniProtKB:Q63560}; Cytoplasmic side {ECO:0000250|UniProtKB:Q63560}. Note=Isoform 1 and isoform 2 associate with axonal microtubules in neurons (PubMed:16837464). Isoform 3 associates with microtubules in fibroblasts (PubMed:9600916). Localizes predominantly in the proximal part of the axon (By similarity). Preferentially is concentrated on a portion of the microtubule polymer in which tubulin is modified by detyrosination and acetylation and is also resistant to depolymerization induced by both nocodazole and cold (By similarity). In unpolarized neurons, localizes to the Golgi and to secretory vesicles accumulating transiently at the tips of a subset of neurites (By similarity). Following neuronal polarization and during axon outgrowth, accumulates in the axonal growth cone and subsequently localizes throughout the axon. Partially localizes to dendrites in mature neurons (By similarity). {ECO:0000250|UniProtKB:Q63560, ECO:0000269|PubMed:16837464, ECO:0000269|PubMed:9600916}.	axonal transport of mitochondrion [GO:0019896]; cytoskeleton-dependent intracellular transport [GO:0030705]; dendrite morphogenesis [GO:0048813]; lysosome localization [GO:0032418]; microtubule cytoskeleton organization [GO:0000226]; positive regulation of axonogenesis [GO:0050772]; regulation of microtubule cytoskeleton organization [GO:0070507]	axon [GO:0030424]; axon cytoplasm [GO:1904115]; cis-Golgi network [GO:0005801]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; microtubule [GO:0005874]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; secretory vesicle [GO:0099503]; transport vesicle membrane [GO:0030658]	calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]	axon [GO:0030424]; axon cytoplasm [GO:1904115]; cis-Golgi network [GO:0005801]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; microtubule [GO:0005874]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; secretory vesicle [GO:0099503]; transport vesicle membrane [GO:0030658]; calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; axonal transport of mitochondrion [GO:0019896]; cytoskeleton-dependent intracellular transport [GO:0030705]; dendrite morphogenesis [GO:0048813]; lysosome localization [GO:0032418]; microtubule cytoskeleton organization [GO:0000226]; positive regulation of axonogenesis [GO:0050772]; regulation of microtubule cytoskeleton organization [GO:0070507]
Q7TST5	reviewed	LAMP3_MOUSE	Lysosome-associated membrane glycoprotein 3 (LAMP-3) (Lysosomal-associated membrane protein 3) (DC-lysosome-associated membrane glycoprotein) (DC LAMP) (CD antigen CD208)	Lamp3	Mus musculus (Mouse)	411	SUBCELLULAR LOCATION: Cell surface {ECO:0000250|UniProtKB:Q9UQV4}. Lysosome membrane {ECO:0000250|UniProtKB:Q9UQV4}; Single-pass type I membrane protein {ECO:0000255}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q9UQV4}; Single-pass type I membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000250|UniProtKB:Q9UQV4}; Single-pass type I membrane protein {ECO:0000255}. Note=During dendritic cell maturation, detected on cytoplasmic vesicles (the MHC II compartment) that contain MHC II proteins, LAMP1, LAMP2 and LAMP3. Detected on lysosomes in mature dendritic cells. {ECO:0000250|UniProtKB:Q9UQV4}.	adaptive immune response [GO:0002250]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of proteasomal protein catabolic process [GO:1901799]; positive regulation of gene expression [GO:0010628]; regulation of autophagy [GO:0010506]; regulation of viral life cycle [GO:1903900]; response to interferon-alpha [GO:0035455]	alveolar lamellar body membrane [GO:0097233]; cell surface [GO:0009986]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982]		alveolar lamellar body membrane [GO:0097233]; cell surface [GO:0009986]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; adaptive immune response [GO:0002250]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of proteasomal protein catabolic process [GO:1901799]; positive regulation of gene expression [GO:0010628]; regulation of autophagy [GO:0010506]; regulation of viral life cycle [GO:1903900]; response to interferon-alpha [GO:0035455]
Q80TJ1	reviewed	CAPS1_MOUSE	Calcium-dependent secretion activator 1 (Calcium-dependent activator protein for secretion 1) (CAPS-1)	Cadps Caps Caps1 Kiaa1121	Mus musculus (Mouse)	1355	SUBCELLULAR LOCATION: Synapse {ECO:0000269|PubMed:14530279}. Cytoplasmic vesicle, secretory vesicle, neuronal dense core vesicle membrane {ECO:0000250|UniProtKB:Q62717}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q62717}. Note=Membrane-associated to vesicles. Strongly enriched in synaptic fractions. Preferentially binds to dense core vesicles but not to synaptic vesicles. Binds phosphoinosides, with a strong selectivity for PtdIns(4,5)P2 over PtdIns(3,4,5)P3. Probably localizes to different vesicles compared to CADPS2. {ECO:0000269|PubMed:14530279, ECO:0000269|PubMed:15820695}.	catecholamine secretion [GO:0050432]; establishment of localization in cell [GO:0051649]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of exocytosis [GO:0045921]; presynaptic dense core vesicle exocytosis [GO:0099525]; protein transport [GO:0015031]; synaptic vesicle priming [GO:0016082]; vesicle organization [GO:0016050]	cytoplasmic vesicle [GO:0031410]; dense core granule [GO:0031045]; extrinsic component of neuronal dense core vesicle membrane [GO:0098674]; glutamatergic synapse [GO:0098978]; presynapse [GO:0098793]	calcium ion binding [GO:0005509]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; protein kinase binding [GO:0019901]	cytoplasmic vesicle [GO:0031410]; dense core granule [GO:0031045]; extrinsic component of neuronal dense core vesicle membrane [GO:0098674]; glutamatergic synapse [GO:0098978]; presynapse [GO:0098793]; calcium ion binding [GO:0005509]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; protein kinase binding [GO:0019901]; catecholamine secretion [GO:0050432]; establishment of localization in cell [GO:0051649]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of exocytosis [GO:0045921]; presynaptic dense core vesicle exocytosis [GO:0099525]; protein transport [GO:0015031]; synaptic vesicle priming [GO:0016082]; vesicle organization [GO:0016050]
Q80TN5	reviewed	ZDH17_MOUSE	Palmitoyltransferase ZDHHC17 (EC 2.3.1.225) (Acyltransferase ZDHHC17) (EC 2.3.1.-) (DHHC domain-containing cysteine-rich protein 17) (DHHC-17) (Huntingtin-interacting protein 14) (Zinc finger DHHC domain-containing protein 17)	Zdhhc17 Hip14 Kiaa0946	Mus musculus (Mouse)	632	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:18596047, ECO:0000269|PubMed:25253725}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q8IUH5}; Multi-pass membrane protein {ECO:0000255}. Presynaptic cell membrane {ECO:0000250|UniProtKB:Q8IUH5}; Multi-pass membrane protein {ECO:0000255}. Note=Low extracellular Mg(2+) induces increase in Golgi and in post-Golgi membrane vesicles. {ECO:0000250|UniProtKB:Q8IUH5}.	axonogenesis [GO:0007409]; lipoprotein transport [GO:0042953]; peptidyl-L-cysteine S-palmitoylation [GO:0018230]; protein palmitoylation [GO:0018345]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of neurotrophin TRK receptor signaling pathway [GO:0051386]; regulation of programmed cell death [GO:0043067]	cell projection [GO:0042995]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi-associated vesicle membrane [GO:0030660]; intracellular membrane-bounded organelle [GO:0043231]; presynaptic membrane [GO:0042734]	cysteine-type endopeptidase inhibitor activity [GO:0004869]; identical protein binding [GO:0042802]; palmitoyltransferase activity [GO:0016409]; protein-cysteine S-myristoyltransferase activity [GO:0019705]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; protein-cysteine S-stearoyltransferase activity [GO:0140439]; signaling receptor binding [GO:0005102]	cell projection [GO:0042995]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi-associated vesicle membrane [GO:0030660]; intracellular membrane-bounded organelle [GO:0043231]; presynaptic membrane [GO:0042734]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; identical protein binding [GO:0042802]; palmitoyltransferase activity [GO:0016409]; protein-cysteine S-myristoyltransferase activity [GO:0019705]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; protein-cysteine S-stearoyltransferase activity [GO:0140439]; signaling receptor binding [GO:0005102]; axonogenesis [GO:0007409]; lipoprotein transport [GO:0042953]; peptidyl-L-cysteine S-palmitoylation [GO:0018230]; protein palmitoylation [GO:0018345]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of neurotrophin TRK receptor signaling pathway [GO:0051386]; regulation of programmed cell death [GO:0043067]
Q80TY0	reviewed	FNBP1_MOUSE	Formin-binding protein 1 (Formin-binding protein 17)	Fnbp1 Fbp17 Kiaa0554	Mus musculus (Mouse)	616	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Lysosome {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Membrane, clathrin-coated pit {ECO:0000250}. Note=Enriched in cortical regions coincident with F-actin. Also localizes to endocytic vesicles and lysosomes. {ECO:0000250}.	endocytosis [GO:0006897]; nervous system development [GO:0007399]; signal transduction [GO:0007165]	cell cortex [GO:0005938]; clathrin-coated pit [GO:0005905]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; plasma membrane [GO:0005886]	identical protein binding [GO:0042802]; lipid binding [GO:0008289]	cell cortex [GO:0005938]; clathrin-coated pit [GO:0005905]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; endocytosis [GO:0006897]; nervous system development [GO:0007399]; signal transduction [GO:0007165]
Q80TY5	reviewed	VP13B_MOUSE	Intermembrane lipid transfer protein VPS13B (Cohen syndrome protein 1 homolog) (Vacuolar protein sorting-associated protein 13B)	Vps13b Coh1 Kiaa0532	Mus musculus (Mouse)	3993	SUBCELLULAR LOCATION: Recycling endosome membrane {ECO:0000269|PubMed:30962439}; Peripheral membrane protein {ECO:0000305}. Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000269|PubMed:31218450}; Peripheral membrane protein {ECO:0000305}. Golgi apparatus, cis-Golgi network membrane {ECO:0000250|UniProtKB:Q7Z7G8}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q7Z7G8}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250|UniProtKB:Q7Z7G8}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q7Z7G8}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q7Z7G8}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q7Z7G8}. Early endosome membrane {ECO:0000250|UniProtKB:Q7Z7G8}; Peripheral membrane protein {ECO:0000305}. Lysosome membrane {ECO:0000250|UniProtKB:Q7Z7G8}; Peripheral membrane protein {ECO:0000305}. Note=Localizes to proacrosomal and acrosomal vesicles and not the Golgi apparatus during acrosome formation. {ECO:0000269|PubMed:31218450}.	acrosome assembly [GO:0001675]; adipose tissue development [GO:0060612]; central nervous system development [GO:0007417]; Golgi organization [GO:0007030]; Golgi reassembly [GO:0090168]; lipid transport [GO:0006869]; maintenance of lens transparency [GO:0036438]; nervous system development [GO:0007399]; slow endocytic recycling [GO:0032458]; vesicle-mediated transport [GO:0016192]	acrosomal membrane [GO:0002080]; cis-Golgi network membrane [GO:0033106]; early endosome membrane [GO:0031901]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; recycling endosome membrane [GO:0055038]; trans-Golgi network membrane [GO:0032588]	phosphatidylinositol-3-phosphate binding [GO:0032266]	acrosomal membrane [GO:0002080]; cis-Golgi network membrane [GO:0033106]; early endosome membrane [GO:0031901]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; recycling endosome membrane [GO:0055038]; trans-Golgi network membrane [GO:0032588]; phosphatidylinositol-3-phosphate binding [GO:0032266]; acrosome assembly [GO:0001675]; adipose tissue development [GO:0060612]; central nervous system development [GO:0007417]; Golgi organization [GO:0007030]; Golgi reassembly [GO:0090168]; lipid transport [GO:0006869]; maintenance of lens transparency [GO:0036438]; nervous system development [GO:0007399]; slow endocytic recycling [GO:0032458]; vesicle-mediated transport [GO:0016192]
Q80UF7	reviewed	TCAM1_MOUSE	TIR domain-containing adapter molecule 1 (TICAM-1) (Toll-interleukin-1 receptor domain-containing adapter protein inducing interferon beta) (TIR domain-containing adapter protein inducing IFN-beta)	Ticam1 Trif	Mus musculus (Mouse)	732	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:21703541}. Cytoplasmic vesicle, autophagosome {ECO:0000250|UniProtKB:Q8IUC6}. Mitochondrion {ECO:0000269|PubMed:21703541}. Note=Colocalizes with UBQLN1 in the autophagosome. Colocalizes in the cytosol with DDX1, DDX21 and DHX36 (PubMed:21703541). Colocalizes in the mitochondria with DDX1 and poly(I:C) RNA ligand (PubMed:21703541). The multi-helicase-TICAM1 complex may translocate to the mitochondria upon poly(I:C) RNA ligand stimulation (PubMed:21703541). {ECO:0000250|UniProtKB:Q8IUC6, ECO:0000269|PubMed:21703541}.	apoptotic signaling pathway [GO:0097190]; B cell activation [GO:0042113]; B cell proliferation [GO:0042100]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; defense response to virus [GO:0051607]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macrophage activation involved in immune response [GO:0002281]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; nitric oxide biosynthetic process [GO:0006809]; positive regulation of autophagy [GO:0010508]; positive regulation of B cell activation [GO:0050871]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of natural killer cell activation [GO:0032816]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of protein binding [GO:0032092]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon production [GO:0032481]; regulation of protein-containing complex assembly [GO:0043254]; response to exogenous dsRNA [GO:0043330]; response to lipopolysaccharide [GO:0032496]; toll-like receptor signaling pathway [GO:0002224]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]	autophagosome [GO:0005776]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; mitochondrion [GO:0005739]; ripoptosome [GO:0097342]	molecular adaptor activity [GO:0060090]; protein kinase binding [GO:0019901]; ubiquitin-protein transferase activator activity [GO:0097027]	autophagosome [GO:0005776]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; mitochondrion [GO:0005739]; ripoptosome [GO:0097342]; molecular adaptor activity [GO:0060090]; protein kinase binding [GO:0019901]; ubiquitin-protein transferase activator activity [GO:0097027]; apoptotic signaling pathway [GO:0097190]; B cell activation [GO:0042113]; B cell proliferation [GO:0042100]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; defense response to virus [GO:0051607]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macrophage activation involved in immune response [GO:0002281]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; nitric oxide biosynthetic process [GO:0006809]; positive regulation of autophagy [GO:0010508]; positive regulation of B cell activation [GO:0050871]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of natural killer cell activation [GO:0032816]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of protein binding [GO:0032092]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon production [GO:0032481]; regulation of protein-containing complex assembly [GO:0043254]; response to exogenous dsRNA [GO:0043330]; response to lipopolysaccharide [GO:0032496]; toll-like receptor signaling pathway [GO:0002224]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]
Q80UW3	reviewed	RINL_MOUSE	Ras and Rab interactor-like protein	Rinl	Mus musculus (Mouse)	563	SUBCELLULAR LOCATION: Cell projection, ruffle {ECO:0000269|PubMed:21419809}. Cytoplasmic vesicle {ECO:0000269|PubMed:21419809}.	endocytosis [GO:0006897]; protein transport [GO:0015031]	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; ruffle [GO:0001726]	GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase binding [GO:0031267]	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; ruffle [GO:0001726]; GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase binding [GO:0031267]; endocytosis [GO:0006897]; protein transport [GO:0015031]
Q80WG7	reviewed	TRI36_MOUSE	E3 ubiquitin-protein ligase Trim36 (EC 2.3.2.27) (Acrosome RBCC protein) (Haprin) (RING-type E3 ubiquitin transferase TRIM36) (Tripartite motif-containing protein 36)	Trim36	Mus musculus (Mouse)	729	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9NQ86}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:12917430}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19232519}. Note=Found in the acrosomal region of elongated spermatids and mature sperm (PubMed:12917430). Colocalizes with alpha-tubulin (PubMed:19232519). {ECO:0000269|PubMed:12917430, ECO:0000269|PubMed:19232519}.	acrosome reaction [GO:0007340]; microtubule bundle formation [GO:0001578]; mitotic cytokinesis [GO:0000281]; regulation of cell cycle [GO:0051726]; regulation of microtubule cytoskeleton organization [GO:0070507]; spindle organization [GO:0007051]	acrosomal vesicle [GO:0001669]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]	alpha-tubulin binding [GO:0043014]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	acrosomal vesicle [GO:0001669]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; alpha-tubulin binding [GO:0043014]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; acrosome reaction [GO:0007340]; microtubule bundle formation [GO:0001578]; mitotic cytokinesis [GO:0000281]; regulation of cell cycle [GO:0051726]; regulation of microtubule cytoskeleton organization [GO:0070507]; spindle organization [GO:0007051]
Q80WJ1	reviewed	GGN_MOUSE	Gametogenetin	Ggn	Mus musculus (Mouse)	673	SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm, perinuclear region. Note=Localizes along the nuclear membrane.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasmic vesicle.; SUBCELLULAR LOCATION: [Isoform 3]: Nucleus, nucleolus.	cell differentiation [GO:0030154]; double-strand break repair [GO:0006302]; embryo implantation [GO:0007566]; gamete generation [GO:0007276]; protein localization [GO:0008104]; protein-containing complex assembly [GO:0065003]; spermatogenesis [GO:0007283]	cytoplasmic vesicle [GO:0031410]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nucleolus [GO:0005730]; perinuclear region of cytoplasm [GO:0048471]	identical protein binding [GO:0042802]; ubiquitin protein ligase binding [GO:0031625]	cytoplasmic vesicle [GO:0031410]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nucleolus [GO:0005730]; perinuclear region of cytoplasm [GO:0048471]; identical protein binding [GO:0042802]; ubiquitin protein ligase binding [GO:0031625]; cell differentiation [GO:0030154]; double-strand break repair [GO:0006302]; embryo implantation [GO:0007566]; gamete generation [GO:0007276]; protein localization [GO:0008104]; protein-containing complex assembly [GO:0065003]; spermatogenesis [GO:0007283]
Q80Y61	reviewed	BI2L2_MOUSE	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2 (BAI1-associated protein 2-like protein 2) (Planar intestinal- and kidney-specific BAR domain protein) (Pinkbar)	Baiap2l2	Mus musculus (Mouse)	522	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell junction {ECO:0000250}. Cytoplasmic vesicle membrane {ECO:0000250}. Note=Localizes to RAB13-positive vesicles and to the plasma membrane at intercellular contacts. {ECO:0000250}.	actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; membrane organization [GO:0061024]; plasma membrane organization [GO:0007009]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; positive regulation of actin filament polymerization [GO:0030838]	cell-cell contact zone [GO:0044291]; clathrin complex [GO:0071439]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]	identical protein binding [GO:0042802]; phospholipid binding [GO:0005543]	cell-cell contact zone [GO:0044291]; clathrin complex [GO:0071439]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]; identical protein binding [GO:0042802]; phospholipid binding [GO:0005543]; actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; membrane organization [GO:0061024]; plasma membrane organization [GO:0007009]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; positive regulation of actin filament polymerization [GO:0030838]
