Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Subcellular location [CC]
Q8C9B9	reviewed	DIDO1_MOUSE	Death-inducer obliterator 1 (DIO-1) (Death-associated transcription factor 1) (DATF-1)	Dido1 Datf1 Dio1	Mus musculus (Mouse)	2256	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]	apoptotic signaling pathway [GO:0097190]; DNA-templated transcription [GO:0006351]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; metal ion binding [GO:0046872]; apoptotic signaling pathway [GO:0097190]; DNA-templated transcription [GO:0006351]	metal ion binding [GO:0046872]	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Note=Translocates to the mitotic spindle upon loss of interaction with H3K4me3 during early mitosis (By similarity). Translocates to the nucleus after pro-apoptotic stimuli. {ECO:0000250}.
Q8C9J3	reviewed	SPEF2_MOUSE	Sperm flagellar protein 2 (Protein KPL2)	Spef2 Kpl2	Mus musculus (Mouse)	1724	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; manchette [GO:0002177]; sperm flagellum [GO:0036126]; sperm midpiece [GO:0097225]	brain morphogenesis [GO:0048854]; cerebrospinal fluid circulation [GO:0090660]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; establishment of localization in cell [GO:0051649]; mucociliary clearance [GO:0120197]; respiratory system development [GO:0060541]; skeletal system morphogenesis [GO:0048705]; sperm axoneme assembly [GO:0007288]; sperm flagellum assembly [GO:0120316]; spermatogenesis [GO:0007283]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; manchette [GO:0002177]; sperm flagellum [GO:0036126]; sperm midpiece [GO:0097225]; brain morphogenesis [GO:0048854]; cerebrospinal fluid circulation [GO:0090660]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; establishment of localization in cell [GO:0051649]; mucociliary clearance [GO:0120197]; respiratory system development [GO:0060541]; skeletal system morphogenesis [GO:0048705]; sperm axoneme assembly [GO:0007288]; sperm flagellum assembly [GO:0120316]; spermatogenesis [GO:0007283]		SUBCELLULAR LOCATION: Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q9C093}. Cytoplasm {ECO:0000269|PubMed:19889948}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19889948, ECO:0000269|PubMed:28619825}. Golgi apparatus {ECO:0000269|PubMed:19889948}. Note=Shows dynamic localization in developing spermatozoa (PubMed:19889948). Localizes to the manchette in step 10-12 elongating spermatids, where it is mainly found on the basal side below the perinuclear ring (PubMed:19889948, PubMed:28619825). Detected in the basal body and neck area of step 13-14 spermatids (PubMed:19889948). Localizes to the midpiece of the sperm tail in step 15-16 spermatids (PubMed:19889948). During the epididymal transport of spermatozoa, expression in the sperm tail reduces and becomes concentrated at the distal part of the midpiece (PubMed:19889948). Detected in the Golgi apparatus of late spermatocytes and round spermatids (PubMed:19889948). Detected in the cytoplasm of Sertoli cells (PubMed:19889948). {ECO:0000269|PubMed:19889948, ECO:0000269|PubMed:28619825}.
Q8CBW3	reviewed	ABI1_MOUSE	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Ablphilin-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Spectrin SH3 domain-binding protein 1) (e3B1)	Abi1 Ssh3bp1	Mus musculus (Mouse)	481	cell leading edge [GO:0031252]; cytoskeleton [GO:0005856]; filopodium tip [GO:0032433]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; neuron projection [GO:0043005]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; SCAR complex [GO:0031209]	dendrite morphogenesis [GO:0048813]; lamellipodium morphogenesis [GO:0072673]; megakaryocyte development [GO:0035855]; positive regulation of protein tyrosine kinase activity [GO:0061098]; postsynapse to nucleus signaling pathway [GO:0099527]; somitogenesis [GO:0001756]	cell leading edge [GO:0031252]; cytoskeleton [GO:0005856]; filopodium tip [GO:0032433]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; neuron projection [GO:0043005]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; SCAR complex [GO:0031209]; protein tyrosine kinase activator activity [GO:0030296]; SH3 domain binding [GO:0017124]; signaling adaptor activity [GO:0035591]; dendrite morphogenesis [GO:0048813]; lamellipodium morphogenesis [GO:0072673]; megakaryocyte development [GO:0035855]; positive regulation of protein tyrosine kinase activity [GO:0061098]; postsynapse to nucleus signaling pathway [GO:0099527]; somitogenesis [GO:0001756]	protein tyrosine kinase activator activity [GO:0030296]; SH3 domain binding [GO:0017124]; signaling adaptor activity [GO:0035591]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cell projection, lamellipodium {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Postsynaptic density {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Localized to protruding lamellipodia and filopodia tips. Also localized to neuronal growth cones and synaptosomes. May shuttle from the postsynaptic densities to the nucleus (By similarity). {ECO:0000250}.
Q8CC35	reviewed	SYNPO_MOUSE	Synaptopodin	Synpo Kiaa1029	Mus musculus (Mouse)	929	actin cytoskeleton [GO:0015629]; bicellular tight junction [GO:0005923]; cell periphery [GO:0071944]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; Schaffer collateral - CA1 synapse [GO:0098685]; spine apparatus [GO:0097444]; stress fiber [GO:0001725]; Z disc [GO:0030018]	cortical cytoskeleton organization [GO:0030865]; modification of dendritic spine [GO:0098886]; positive regulation of actin filament bundle assembly [GO:0032233]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of postsynaptic cytosolic calcium ion concentration [GO:0099566]; regulation of stress fiber assembly [GO:0051492]; spine apparatus assembly [GO:1905355]; visual learning [GO:0008542]	actin cytoskeleton [GO:0015629]; bicellular tight junction [GO:0005923]; cell periphery [GO:0071944]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; Schaffer collateral - CA1 synapse [GO:0098685]; spine apparatus [GO:0097444]; stress fiber [GO:0001725]; Z disc [GO:0030018]; actin binding [GO:0003779]; cortical cytoskeleton organization [GO:0030865]; modification of dendritic spine [GO:0098886]; positive regulation of actin filament bundle assembly [GO:0032233]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of postsynaptic cytosolic calcium ion concentration [GO:0099566]; regulation of stress fiber assembly [GO:0051492]; spine apparatus assembly [GO:1905355]; visual learning [GO:0008542]	actin binding [GO:0003779]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9314539}. Cell junction, tight junction {ECO:0000269|PubMed:9314539}. Perikaryon {ECO:0000269|PubMed:9314539}. Cell projection, dendritic spine {ECO:0000269|PubMed:12928494, ECO:0000269|PubMed:9314539}. Postsynaptic density {ECO:0000269|PubMed:9314539}. Synapse {ECO:0000269|PubMed:9314539}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q8N3V7}. Note=Localized at the tight junction of cells. In brain, localized to the postsynaptic densities and in the perikarya. Associated with dendritic spines of a subset of synapses (PubMed:9314539). {ECO:0000269|PubMed:9314539}.
Q8CCN5	reviewed	BCAS3_MOUSE	BCAS3 microtubule associated cell migration factor (Breast carcinoma-amplified sequence 3 homolog) (K20D4) (Protein rudhira)	Bcas3	Mus musculus (Mouse)	928	cell leading edge [GO:0031252]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; euchromatin [GO:0000791]; intermediate filament cytoskeleton [GO:0045111]; nucleus [GO:0005634]; phagophore assembly site [GO:0000407]	angiogenesis [GO:0001525]; autophagy [GO:0006914]; cell-cell signaling [GO:0007267]; cellular response to estrogen stimulus [GO:0071391]; positive regulation of catalytic activity [GO:0043085]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of actin cytoskeleton organization [GO:0032956]; response to estrogen [GO:0043627]; response to starvation [GO:0042594]	cell leading edge [GO:0031252]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; euchromatin [GO:0000791]; intermediate filament cytoskeleton [GO:0045111]; nucleus [GO:0005634]; phagophore assembly site [GO:0000407]; acetyltransferase activator activity [GO:0010698]; beta-tubulin binding [GO:0048487]; chromatin binding [GO:0003682]; histone acetyltransferase binding [GO:0035035]; histone binding [GO:0042393]; nuclear receptor binding [GO:0016922]; phosphatidylinositol binding [GO:0035091]; angiogenesis [GO:0001525]; autophagy [GO:0006914]; cell-cell signaling [GO:0007267]; cellular response to estrogen stimulus [GO:0071391]; positive regulation of catalytic activity [GO:0043085]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of actin cytoskeleton organization [GO:0032956]; response to estrogen [GO:0043627]; response to starvation [GO:0042594]	acetyltransferase activator activity [GO:0010698]; beta-tubulin binding [GO:0048487]; chromatin binding [GO:0003682]; histone acetyltransferase binding [GO:0035035]; histone binding [GO:0042393]; nuclear receptor binding [GO:0016922]; phosphatidylinositol binding [GO:0035091]	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9H6U6}. Cytoplasm {ECO:0000269|PubMed:16099728, ECO:0000269|PubMed:22300583}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22300583}. Preautophagosomal structure {ECO:0000250|UniProtKB:Q9H6U6}. Note=Associates with chromatin. Recruited to estrogen receptor-induced promoters in a PELP1-dependent manner (By similarity). Localizes in the cytoplasm in stationary cells. Translocates from the cytoplasm to the leading edge in motile cells. Colocalizes with microtubules and intermediate filaments in both stationary and motile cells. The BCAS3:PHAF1 complex is recruited to the preautophagosomal structures adjacent to the damaged mitochondria upon mitophagy in a PRKN-PINK1 dependent manner (By similarity). {ECO:0000250|UniProtKB:Q9H6U6, ECO:0000269|PubMed:22300583}.
Q8CDK2	reviewed	CBPC2_MOUSE	Cytosolic carboxypeptidase 2 (EC 3.4.17.-) (ATP/GTP-binding protein-like 2) (Protein deglutamylase CCP2)	Agbl2 Ccp2	Mus musculus (Mouse)	862	centriole [GO:0005814]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]	protein side chain deglutamylation [GO:0035610]; proteolysis [GO:0006508]	centriole [GO:0005814]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]; protein side chain deglutamylation [GO:0035610]; proteolysis [GO:0006508]	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:17244818}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:Q5U5Z8}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q5U5Z8}. Note=Colocalizes with gamma-tubulin in the centrioles and with glutamylated tubulin in the basal bodies of ciliated cells. {ECO:0000250|UniProtKB:Q5U5Z8}.
Q8CDK3	reviewed	IQUB_MOUSE	IQ and ubiquitin-like domain-containing protein	Iqub	Mus musculus (Mouse)	788	acrosomal vesicle [GO:0001669]; cytoskeleton [GO:0005856]; motile cilium [GO:0031514]	cilium assembly [GO:0060271]; smoothened signaling pathway [GO:0007224]	acrosomal vesicle [GO:0001669]; cytoskeleton [GO:0005856]; motile cilium [GO:0031514]; cilium assembly [GO:0060271]; smoothened signaling pathway [GO:0007224]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000269|PubMed:36417862}. Cell projection, cilium {ECO:0000269|PubMed:36417862}. Note=Localizes to the axoneme of sperm cells and the cilia of tracheal epithelial cells. {ECO:0000269|PubMed:36417862}.
Q8CDR2	reviewed	RSH6A_MOUSE	Radial spoke head protein 6 homolog A (Radial spoke head-like protein 1)	Rsph6a Rshl1	Mus musculus (Mouse)	708	axoneme [GO:0005930]; cilium [GO:0005929]; radial spoke [GO:0001534]; sperm flagellum [GO:0036126]	axoneme assembly [GO:0035082]; cilium movement [GO:0003341]; cilium movement involved in cell motility [GO:0060294]; manchette disassembly [GO:1905199]; motile cilium assembly [GO:0044458]	axoneme [GO:0005930]; cilium [GO:0005929]; radial spoke [GO:0001534]; sperm flagellum [GO:0036126]; axoneme assembly [GO:0035082]; cilium movement [GO:0003341]; cilium movement involved in cell motility [GO:0060294]; manchette disassembly [GO:1905199]; motile cilium assembly [GO:0044458]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000269|PubMed:30185526, ECO:0000269|PubMed:30239614, ECO:0000269|PubMed:34871179}.
Q8CEE0	reviewed	CEP57_MOUSE	Centrosomal protein of 57 kDa (Cep57) (Testis-specific protein 57) (Translokin)	Cep57 Kiaa0092 Tsp57	Mus musculus (Mouse)	500	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; nucleus [GO:0005634]	fibroblast growth factor receptor signaling pathway [GO:0008543]; protein homooligomerization [GO:0051260]; spermatid development [GO:0007286]	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; nucleus [GO:0005634]; fibroblast growth factor binding [GO:0017134]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]; fibroblast growth factor receptor signaling pathway [GO:0008543]; protein homooligomerization [GO:0051260]; spermatid development [GO:0007286]	fibroblast growth factor binding [GO:0017134]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:12954732, ECO:0000269|PubMed:18294141}.
Q8CFW7	reviewed	C2D2A_MOUSE	Coiled-coil and C2 domain-containing protein 2A	Cc2d2a	Mus musculus (Mouse)	1633	ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; MKS complex [GO:0036038]	axoneme assembly [GO:0035082]; camera-type eye development [GO:0043010]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; embryonic brain development [GO:1990403]; heart development [GO:0007507]; kidney development [GO:0001822]; motile cilium assembly [GO:0044458]; neural tube closure [GO:0001843]; non-motile cilium assembly [GO:1905515]; protein localization to ciliary transition zone [GO:1904491]; smoothened signaling pathway [GO:0007224]	ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; MKS complex [GO:0036038]; axoneme assembly [GO:0035082]; camera-type eye development [GO:0043010]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; embryonic brain development [GO:1990403]; heart development [GO:0007507]; kidney development [GO:0001822]; motile cilium assembly [GO:0044458]; neural tube closure [GO:0001843]; non-motile cilium assembly [GO:1905515]; protein localization to ciliary transition zone [GO:1904491]; smoothened signaling pathway [GO:0007224]		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21725307}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:21725307}. Note=Localizes at the transition zone, a region between the basal body and the ciliary axoneme.
Q8CG73	reviewed	FTM_MOUSE	Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)	Rpgrip1l Ftm Nphp8	Mus musculus (Mouse)	1264	axonemal microtubule [GO:0005879]; axoneme [GO:0005930]; bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary rootlet [GO:0035253]; ciliary transition zone [GO:0035869]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; photoreceptor connecting cilium [GO:0032391]; plasma membrane [GO:0005886]	brain development [GO:0007420]; camera-type eye development [GO:0043010]; cerebellum development [GO:0021549]; cilium assembly [GO:0060271]; cochlea development [GO:0090102]; corpus callosum development [GO:0022038]; determination of left/right symmetry [GO:0007368]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; establishment of planar polarity [GO:0001736]; establishment or maintenance of cell polarity [GO:0007163]; head development [GO:0060322]; in utero embryonic development [GO:0001701]; kidney development [GO:0001822]; lateral ventricle development [GO:0021670]; limb morphogenesis [GO:0035108]; liver development [GO:0001889]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; neural tube patterning [GO:0021532]; non-motile cilium assembly [GO:1905515]; nose development [GO:0043584]; olfactory bulb development [GO:0021772]; pericardium development [GO:0060039]; regulation of smoothened signaling pathway [GO:0008589]; retinal rod cell development [GO:0046548]; telencephalon development [GO:0021537]	axonemal microtubule [GO:0005879]; axoneme [GO:0005930]; bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary rootlet [GO:0035253]; ciliary transition zone [GO:0035869]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; photoreceptor connecting cilium [GO:0032391]; plasma membrane [GO:0005886]; thromboxane A2 receptor binding [GO:0031870]; brain development [GO:0007420]; camera-type eye development [GO:0043010]; cerebellum development [GO:0021549]; cilium assembly [GO:0060271]; cochlea development [GO:0090102]; corpus callosum development [GO:0022038]; determination of left/right symmetry [GO:0007368]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; establishment of planar polarity [GO:0001736]; establishment or maintenance of cell polarity [GO:0007163]; head development [GO:0060322]; in utero embryonic development [GO:0001701]; kidney development [GO:0001822]; lateral ventricle development [GO:0021670]; limb morphogenesis [GO:0035108]; liver development [GO:0001889]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; neural tube patterning [GO:0021532]; non-motile cilium assembly [GO:1905515]; nose development [GO:0043584]; olfactory bulb development [GO:0021772]; pericardium development [GO:0060039]; regulation of smoothened signaling pathway [GO:0008589]; retinal rod cell development [GO:0046548]; telencephalon development [GO:0021537]	thromboxane A2 receptor binding [GO:0031870]	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:21565611}. Cytoplasm, cytoskeleton, cilium axoneme. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:26150391}. Cell junction, tight junction {ECO:0000269|PubMed:21565611}. Note=In cultured renal cells, it localizes diffusely in the cytoplasm but, as cells approach confluence, it accumulates to basolateral tight junctions. Localizes to the ciliary transition zone. {ECO:0000269|PubMed:21565611, ECO:0000269|PubMed:22927466, ECO:0000269|PubMed:26150391}.
Q8CGB3	reviewed	UACA_MOUSE	Uveal autoantigen with coiled-coil domains and ankyrin repeats (Nuclear membrane-binding protein) (Nucling)	Uaca Kiaa1561	Mus musculus (Mouse)	1411	apoptosome [GO:0043293]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; negative regulation of inflammatory response [GO:0050728]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of protein import into nucleus [GO:0042307]; protein import into nucleus [GO:0006606]; response to UV [GO:0009411]	apoptosome [GO:0043293]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; actin binding [GO:0003779]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; negative regulation of inflammatory response [GO:0050728]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of protein import into nucleus [GO:0042307]; protein import into nucleus [GO:0006606]; response to UV [GO:0009411]	actin binding [GO:0003779]	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12761289}. Cytoplasm {ECO:0000269|PubMed:12761289}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12761289}. Note=Expressed diffusely in cytoplasm.
Q8CGF6	reviewed	WDR47_MOUSE	WD repeat-containing protein 47 (Neuronal enriched MAP interacting protein) (Nemitin)	Wdr47 Kiaa0893	Mus musculus (Mouse)	920	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; microtubule [GO:0005874]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]	adult locomotory behavior [GO:0008344]; anterior commissure morphogenesis [GO:0021960]; autophagy [GO:0006914]; brain development [GO:0007420]; cerebral cortex development [GO:0021987]; cerebral cortex radial glia-guided migration [GO:0021801]; corpus callosum development [GO:0022038]; detection of hot stimulus involved in thermoception [GO:0120168]; locomotory behavior [GO:0007626]; microtubule cytoskeleton organization [GO:0000226]; motor behavior [GO:0061744]; negative regulation of microtubule depolymerization [GO:0007026]; neural precursor cell proliferation [GO:0061351]; neuron projection development [GO:0031175]; neuronal stem cell population maintenance [GO:0097150]	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; microtubule [GO:0005874]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; protein-containing complex binding [GO:0044877]; adult locomotory behavior [GO:0008344]; anterior commissure morphogenesis [GO:0021960]; autophagy [GO:0006914]; brain development [GO:0007420]; cerebral cortex development [GO:0021987]; cerebral cortex radial glia-guided migration [GO:0021801]; corpus callosum development [GO:0022038]; detection of hot stimulus involved in thermoception [GO:0120168]; locomotory behavior [GO:0007626]; microtubule cytoskeleton organization [GO:0000226]; motor behavior [GO:0061744]; negative regulation of microtubule depolymerization [GO:0007026]; neural precursor cell proliferation [GO:0061351]; neuron projection development [GO:0031175]; neuronal stem cell population maintenance [GO:0097150]	protein-containing complex binding [GO:0044877]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22523538}. Note=Localization along microtubules is mediated by MAP1S.
Q8CGM2	reviewed	RP1L1_MOUSE	Retinitis pigmentosa 1-like 1 protein (Retinitis pigmentosa 1-like protein 1)	Rp1l1 Rp1hl1	Mus musculus (Mouse)	1859	axoneme [GO:0005930]; photoreceptor connecting cilium [GO:0032391]; photoreceptor outer segment [GO:0001750]	axoneme assembly [GO:0035082]; intracellular signal transduction [GO:0035556]; photoreceptor cell development [GO:0042461]; photoreceptor cell maintenance [GO:0045494]; retina development in camera-type eye [GO:0060041]; visual perception [GO:0007601]	axoneme [GO:0005930]; photoreceptor connecting cilium [GO:0032391]; photoreceptor outer segment [GO:0001750]; axoneme assembly [GO:0035082]; intracellular signal transduction [GO:0035556]; photoreceptor cell development [GO:0042461]; photoreceptor cell maintenance [GO:0045494]; retina development in camera-type eye [GO:0060041]; visual perception [GO:0007601]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:19657028}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:19657028}. Note=Localized to the axoneme of outer segments and connecting cilia in rod photoreceptors.
Q8CH77	reviewed	NAV1_MOUSE	Neuron navigator 1 (Pore membrane and/or filament-interacting-like protein 3)	Nav1 Kiaa1151 Pomfil3	Mus musculus (Mouse)	1875	axon initial segment [GO:0043194]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]	microtubule bundle formation [GO:0001578]; neuron migration [GO:0001764]	axon initial segment [GO:0043194]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; microtubule bundle formation [GO:0001578]; neuron migration [GO:0001764]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:15797708}. Note=Associates with a subset of microtubule plus ends. Enriched in neuronal growth cones.
Q8CHB8	reviewed	TTLL5_MOUSE	Tubulin polyglutamylase TTLL5 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 5)	Ttll5 Kiaa0998	Mus musculus (Mouse)	1328	9+0 non-motile cilium [GO:0097731]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytosol [GO:0005829]; microtubule [GO:0005874]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	fertilization [GO:0009566]; flagellated sperm motility [GO:0030317]; microtubule cytoskeleton organization [GO:0000226]; protein polyglutamylation [GO:0018095]; retina development in camera-type eye [GO:0060041]; sperm axoneme assembly [GO:0007288]; spermatogenesis [GO:0007283]	9+0 non-motile cilium [GO:0097731]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytosol [GO:0005829]; microtubule [GO:0005874]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tubulin binding [GO:0015631]; tubulin-glutamic acid ligase activity [GO:0070740]; fertilization [GO:0009566]; flagellated sperm motility [GO:0030317]; microtubule cytoskeleton organization [GO:0000226]; protein polyglutamylation [GO:0018095]; retina development in camera-type eye [GO:0060041]; sperm axoneme assembly [GO:0007288]; spermatogenesis [GO:0007283]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tubulin binding [GO:0015631]; tubulin-glutamic acid ligase activity [GO:0070740]	SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000269|PubMed:17499049}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:17499049}. Nucleus {ECO:0000250|UniProtKB:Q6EMB2}. Cytoplasm {ECO:0000250, ECO:0000250|UniProtKB:Q6EMB2}. Note=In osteosarcoma cells, found in both cytoplasm and nucleus in the absence of steroid but located exclusively in the nucleus in the presence of steroid (By similarity). Localized to the base of the connecting cilium between the basal body and the adjacent daughter centriole of the cilium. {ECO:0000250|UniProtKB:Q6EMB2}.
