Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Subcellular location [CC]
Q80UF7	reviewed	TCAM1_MOUSE	TIR domain-containing adapter molecule 1 (TICAM-1) (Toll-interleukin-1 receptor domain-containing adapter protein inducing interferon beta) (TIR domain-containing adapter protein inducing IFN-beta)	Ticam1 Trif	Mus musculus (Mouse)	732	autophagosome [GO:0005776]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; mitochondrion [GO:0005739]; ripoptosome [GO:0097342]	apoptotic signaling pathway [GO:0097190]; B cell activation [GO:0042113]; B cell proliferation [GO:0042100]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; defense response to virus [GO:0051607]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macrophage activation involved in immune response [GO:0002281]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; nitric oxide biosynthetic process [GO:0006809]; positive regulation of autophagy [GO:0010508]; positive regulation of B cell activation [GO:0050871]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of natural killer cell activation [GO:0032816]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of protein binding [GO:0032092]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon production [GO:0032481]; regulation of protein-containing complex assembly [GO:0043254]; response to exogenous dsRNA [GO:0043330]; response to lipopolysaccharide [GO:0032496]; toll-like receptor signaling pathway [GO:0002224]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]	autophagosome [GO:0005776]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; mitochondrion [GO:0005739]; ripoptosome [GO:0097342]; molecular adaptor activity [GO:0060090]; protein kinase binding [GO:0019901]; ubiquitin-protein transferase activator activity [GO:0097027]; apoptotic signaling pathway [GO:0097190]; B cell activation [GO:0042113]; B cell proliferation [GO:0042100]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; defense response to virus [GO:0051607]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macrophage activation involved in immune response [GO:0002281]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; nitric oxide biosynthetic process [GO:0006809]; positive regulation of autophagy [GO:0010508]; positive regulation of B cell activation [GO:0050871]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of natural killer cell activation [GO:0032816]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of protein binding [GO:0032092]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon production [GO:0032481]; regulation of protein-containing complex assembly [GO:0043254]; response to exogenous dsRNA [GO:0043330]; response to lipopolysaccharide [GO:0032496]; toll-like receptor signaling pathway [GO:0002224]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]	molecular adaptor activity [GO:0060090]; protein kinase binding [GO:0019901]; ubiquitin-protein transferase activator activity [GO:0097027]	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:21703541}. Cytoplasmic vesicle, autophagosome {ECO:0000250|UniProtKB:Q8IUC6}. Mitochondrion {ECO:0000269|PubMed:21703541}. Note=Colocalizes with UBQLN1 in the autophagosome. Colocalizes in the cytosol with DDX1, DDX21 and DHX36 (PubMed:21703541). Colocalizes in the mitochondria with DDX1 and poly(I:C) RNA ligand (PubMed:21703541). The multi-helicase-TICAM1 complex may translocate to the mitochondria upon poly(I:C) RNA ligand stimulation (PubMed:21703541). {ECO:0000250|UniProtKB:Q8IUC6, ECO:0000269|PubMed:21703541}.
Q80UN9	reviewed	MOD5_MOUSE	tRNA dimethylallyltransferase (EC 2.5.1.75) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (tRNA isopentenyltransferase) (IPTase)	Trit1 Ipt	Mus musculus (Mouse)	467	mitochondrion [GO:0005739]; nucleus [GO:0005634]	mitochondrial tRNA modification [GO:0070900]; tRNA modification [GO:0006400]	mitochondrion [GO:0005739]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tRNA dimethylallyltransferase activity [GO:0052381]; mitochondrial tRNA modification [GO:0070900]; tRNA modification [GO:0006400]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tRNA dimethylallyltransferase activity [GO:0052381]	SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000250|UniProtKB:Q9H3H1}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000305}. Nucleus {ECO:0000305}.
Q80VL1	reviewed	TDRKH_MOUSE	Tudor and KH domain-containing protein (Tudor domain-containing protein 2)	Tdrkh Tdrd2	Mus musculus (Mouse)	560	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; pi-body [GO:0071546]; piP-body [GO:0071547]	cell differentiation [GO:0030154]; fertilization [GO:0009566]; male meiotic nuclear division [GO:0007140]; piRNA processing [GO:0034587]; spermatogenesis [GO:0007283]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; pi-body [GO:0071546]; piP-body [GO:0071547]; RNA binding [GO:0003723]; cell differentiation [GO:0030154]; fertilization [GO:0009566]; male meiotic nuclear division [GO:0007140]; piRNA processing [GO:0034587]; spermatogenesis [GO:0007283]	RNA binding [GO:0003723]	SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion. Note=Probable component of the meiotic nuage, also named P granule, a germ-cell-specific organelle required to repress transposon activity during meiosis. Colocalizes with pi- and piP-bodies, a subset of the nuage which contains secondary piRNAs. Associated with mitochondria in the germline.
Q80X86	reviewed	ARM12_MOUSE	Armadillo repeat-containing protein 12	Armc12	Mus musculus (Mouse)	340	extrinsic component of membrane [GO:0019898]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	flagellated sperm motility [GO:0030317]; positive regulation of cell growth [GO:0030307]; sperm mitochondrial sheath assembly [GO:0120317]	extrinsic component of membrane [GO:0019898]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; flagellated sperm motility [GO:0030317]; positive regulation of cell growth [GO:0030307]; sperm mitochondrial sheath assembly [GO:0120317]		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q5T9G4}. Mitochondrion outer membrane {ECO:0000269|PubMed:33536340}; Peripheral membrane protein {ECO:0000269|PubMed:33536340}.
Q80YD1	reviewed	SUV3_MOUSE	ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)	Supv3l1 Suv3l1	Mus musculus (Mouse)	779	mitochondrial degradosome [GO:0045025]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	DNA duplex unwinding [GO:0032508]; DNA recombination [GO:0006310]; mitochondrial mRNA catabolic process [GO:0000958]; mitochondrial mRNA surveillance [GO:0035946]; mitochondrial ncRNA surveillance [GO:0035945]; mitochondrial RNA 3'-end processing [GO:0000965]; mitochondrial RNA surveillance [GO:2000827]; mitochondrion morphogenesis [GO:0070584]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell growth [GO:0030307]; positive regulation of mitochondrial RNA catabolic process [GO:0000962]; RNA catabolic process [GO:0006401]	mitochondrial degradosome [GO:0045025]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; 3'-5' RNA helicase activity [GO:0034458]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; RNA helicase activity [GO:0003724]; DNA duplex unwinding [GO:0032508]; DNA recombination [GO:0006310]; mitochondrial mRNA catabolic process [GO:0000958]; mitochondrial mRNA surveillance [GO:0035946]; mitochondrial ncRNA surveillance [GO:0035945]; mitochondrial RNA 3'-end processing [GO:0000965]; mitochondrial RNA surveillance [GO:2000827]; mitochondrion morphogenesis [GO:0070584]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell growth [GO:0030307]; positive regulation of mitochondrial RNA catabolic process [GO:0000962]; RNA catabolic process [GO:0006401]	3'-5' RNA helicase activity [GO:0034458]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; RNA helicase activity [GO:0003724]	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8IYB8}. Mitochondrion matrix {ECO:0000250|UniProtKB:Q8IYB8}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000250|UniProtKB:Q8IYB8}.
Q810J8	reviewed	ZFYV1_MOUSE	Zinc finger FYVE domain-containing protein 1	Zfyve1	Mus musculus (Mouse)	777	autophagosome [GO:0005776]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extrinsic component of omegasome membrane [GO:0097629]; Golgi apparatus [GO:0005794]; Golgi stack [GO:0005795]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondria-associated endoplasmic reticulum membrane [GO:0044233]; mitochondrion [GO:0005739]; omegasome [GO:1990462]; perinuclear region of cytoplasm [GO:0048471]; phagophore assembly site [GO:0000407]	cellular response to starvation [GO:0009267]; lipid droplet formation [GO:0140042]; macroautophagy [GO:0016236]; positive regulation by host of viral genome replication [GO:0044829]	autophagosome [GO:0005776]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extrinsic component of omegasome membrane [GO:0097629]; Golgi apparatus [GO:0005794]; Golgi stack [GO:0005795]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondria-associated endoplasmic reticulum membrane [GO:0044233]; mitochondrion [GO:0005739]; omegasome [GO:1990462]; perinuclear region of cytoplasm [GO:0048471]; phagophore assembly site [GO:0000407]; 1-phosphatidylinositol binding [GO:0005545]; metal ion binding [GO:0046872]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3-phosphate binding [GO:0032266]; cellular response to starvation [GO:0009267]; lipid droplet formation [GO:0140042]; macroautophagy [GO:0016236]; positive regulation by host of viral genome replication [GO:0044829]	1-phosphatidylinositol binding [GO:0005545]; metal ion binding [GO:0046872]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3-phosphate binding [GO:0032266]	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:25876663}. Golgi apparatus, Golgi stack {ECO:0000250|UniProtKB:Q9HBF4}. Endoplasmic reticulum {ECO:0000269|PubMed:25876663}. Preautophagosomal structure {ECO:0000250|UniProtKB:Q9HBF4}. Lipid droplet {ECO:0000269|PubMed:31293035}. Mitochondrion {ECO:0000269|PubMed:25876663}. Note=Resides predominantly in the cisternal stacks of the Golgi. Colocalizes with TRIM13 on the perinuclear endoplasmic reticulum. During starvation conditions, localizes to omegasomes which are endoplasmic reticulum connected strutures at the origin of preautophagosomal structures. Localizes to lipid droplets in the presence of oleic acid (By similarity). {ECO:0000250|UniProtKB:Q9HBF4}.
Q810S1	reviewed	MCUB_MOUSE	Calcium uniporter regulatory subunit MCUb, mitochondrial (MCUb) (Coiled-coil domain-containing protein 109B)	Mcub Ccdc109b	Mus musculus (Mouse)	345	calcium channel complex [GO:0034704]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; uniplex complex [GO:1990246]	calcium import into the mitochondrion [GO:0036444]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transmembrane transport [GO:0006851]	calcium channel complex [GO:0034704]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; uniplex complex [GO:1990246]; calcium channel inhibitor activity [GO:0019855]; calcium import into the mitochondrion [GO:0036444]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transmembrane transport [GO:0006851]	calcium channel inhibitor activity [GO:0019855]	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:23900286}; Multi-pass membrane protein {ECO:0000269|PubMed:23900286}.
Q811T9	reviewed	DISC1_MOUSE	Disrupted in schizophrenia 1 homolog	Disc1	Mus musculus (Mouse)	852	axon [GO:0030424]; cell body [GO:0044297]; central region of growth cone [GO:0090724]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; cytosol [GO:0005829]; dynein complex [GO:0030286]; endoplasmic reticulum [GO:0005783]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; intermediate filament cytoskeleton [GO:0045111]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; synaptic vesicle [GO:0008021]	canonical Wnt signaling pathway [GO:0060070]; cell proliferation in forebrain [GO:0021846]; cerebral cortex radially oriented cell migration [GO:0021799]; cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; mitochondrial calcium ion homeostasis [GO:0051560]; negative regulation of protein binding [GO:0032091]; nervous system development [GO:0007399]; neuron cellular homeostasis [GO:0070050]; neuron migration [GO:0001764]; non-motile cilium assembly [GO:1905515]; positive regulation of axon extension [GO:0045773]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of neuron projection development [GO:0010976]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; positive regulation of Wnt signaling pathway [GO:0030177]; protein localization [GO:0008104]; protein localization to centrosome [GO:0071539]; pyramidal neuron migration to cerebral cortex [GO:0021852]; regulation of dendritic spine development [GO:0060998]; regulation of neuron projection development [GO:0010975]; regulation of postsynapse organization [GO:0099175]; regulation of synapse maturation [GO:0090128]; regulation of synaptic transmission, glutamatergic [GO:0051966]; response to electrical stimulus [GO:0051602]; TOR signaling [GO:0031929]; ubiquitin-dependent protein catabolic process [GO:0006511]	axon [GO:0030424]; cell body [GO:0044297]; central region of growth cone [GO:0090724]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; cytosol [GO:0005829]; dynein complex [GO:0030286]; endoplasmic reticulum [GO:0005783]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; intermediate filament cytoskeleton [GO:0045111]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; synaptic vesicle [GO:0008021]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; molecular adaptor activity [GO:0060090]; protein-containing complex binding [GO:0044877]; canonical Wnt signaling pathway [GO:0060070]; cell proliferation in forebrain [GO:0021846]; cerebral cortex radially oriented cell migration [GO:0021799]; cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; mitochondrial calcium ion homeostasis [GO:0051560]; negative regulation of protein binding [GO:0032091]; nervous system development [GO:0007399]; neuron cellular homeostasis [GO:0070050]; neuron migration [GO:0001764]; non-motile cilium assembly [GO:1905515]; positive regulation of axon extension [GO:0045773]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of neuron projection development [GO:0010976]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; positive regulation of Wnt signaling pathway [GO:0030177]; protein localization [GO:0008104]; protein localization to centrosome [GO:0071539]; pyramidal neuron migration to cerebral cortex [GO:0021852]; regulation of dendritic spine development [GO:0060998]; regulation of neuron projection development [GO:0010975]; regulation of postsynapse organization [GO:0099175]; regulation of synapse maturation [GO:0090128]; regulation of synaptic transmission, glutamatergic [GO:0051966]; response to electrical stimulus [GO:0051602]; TOR signaling [GO:0031929]; ubiquitin-dependent protein catabolic process [GO:0006511]	identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; molecular adaptor activity [GO:0060090]; protein-containing complex binding [GO:0044877]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14962739}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9NRI5}. Mitochondrion {ECO:0000250|UniProtKB:Q9NRI5}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q9NRI5}. Postsynaptic density {ECO:0000269|PubMed:22072671}. Note=Colocalizes with NDEL1 in the perinuclear region and the centrosome (PubMed:14962739). Localizes to punctate cytoplasmic foci which overlap in part with mitochondria. Colocalizes with PCNT at the centrosome (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q9NRI5, ECO:0000269|PubMed:14962739}.
Q811U4	reviewed	MFN1_MOUSE	Mitofusin-1 (EC 3.6.5.-) (Transmembrane GTPase MFN1)	Mfn1	Mus musculus (Mouse)	741	membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; outer mitochondrial membrane protein complex [GO:0098799]	GTP metabolic process [GO:0046039]; intracellular distribution of mitochondria [GO:0048312]; mitochondrial fusion [GO:0008053]; mitochondrion localization [GO:0051646]; mitochondrion morphogenesis [GO:0070584]; negative regulation of mitochondrial fission [GO:0090258]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of mitochondrial fusion [GO:0010636]; positive regulation of mitochondrial membrane potential [GO:0010918]	membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; outer mitochondrial membrane protein complex [GO:0098799]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; GTP metabolic process [GO:0046039]; intracellular distribution of mitochondria [GO:0048312]; mitochondrial fusion [GO:0008053]; mitochondrion localization [GO:0051646]; mitochondrion morphogenesis [GO:0070584]; negative regulation of mitochondrial fission [GO:0090258]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of mitochondrial fusion [GO:0010636]; positive regulation of mitochondrial membrane potential [GO:0010918]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:12759376}; Multi-pass membrane protein {ECO:0000305}.
Q8BFP9	reviewed	PDK1_MOUSE	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 1) (PDH kinase 1)	Pdk1	Mus musculus (Mouse)	434	mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; pyruvate dehydrogenase complex [GO:0045254]	cell population proliferation [GO:0008283]; cell surface receptor signaling pathway [GO:0007166]; glucose metabolic process [GO:0006006]; hypoxia-inducible factor-1alpha signaling pathway [GO:0097411]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of acetyl-CoA biosynthetic process from pyruvate [GO:0010510]; regulation of glucose metabolic process [GO:0010906]	mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; pyruvate dehydrogenase complex [GO:0045254]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; pyruvate dehydrogenase (acetyl-transferring) kinase activity [GO:0004740]; cell population proliferation [GO:0008283]; cell surface receptor signaling pathway [GO:0007166]; glucose metabolic process [GO:0006006]; hypoxia-inducible factor-1alpha signaling pathway [GO:0097411]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of acetyl-CoA biosynthetic process from pyruvate [GO:0010510]; regulation of glucose metabolic process [GO:0010906]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; pyruvate dehydrogenase (acetyl-transferring) kinase activity [GO:0004740]	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}.
Q8BG51	reviewed	MIRO1_MOUSE	Mitochondrial Rho GTPase 1 (MIRO-1) (EC 3.6.5.-) (Ras homolog gene family member T1)	Rhot1 Arht1	Mus musculus (Mouse)	631	mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	cellular homeostasis [GO:0019725]; establishment of mitochondrion localization by microtubule attachment [GO:0034640]; mitochondrial outer membrane permeabilization [GO:0097345]; mitochondrion organization [GO:0007005]; mitochondrion transport along microtubule [GO:0047497]; regulation of mitochondrion organization [GO:0010821]; regulation of neurotransmitter secretion [GO:0046928]; regulation of organelle transport along microtubule [GO:1902513]; small GTPase mediated signal transduction [GO:0007264]	mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cellular homeostasis [GO:0019725]; establishment of mitochondrion localization by microtubule attachment [GO:0034640]; mitochondrial outer membrane permeabilization [GO:0097345]; mitochondrion organization [GO:0007005]; mitochondrion transport along microtubule [GO:0047497]; regulation of mitochondrion organization [GO:0010821]; regulation of neurotransmitter secretion [GO:0046928]; regulation of organelle transport along microtubule [GO:1902513]; small GTPase mediated signal transduction [GO:0007264]	calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q8IXI2}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:Q8IXI2}. Note=Colocalizes with MGARP and RHOT2 at the mitochondria. {ECO:0000250|UniProtKB:Q8IXI2}.
Q8BGD5	reviewed	CPT1C_MOUSE	Carnitine O-palmitoyltransferase 1, brain isoform (CPT1-B) (EC 2.3.1.21) (CPT IC) (Carnitine O-palmitoyltransferase I, brain isoform) (CPTI-B) (Carnitine palmitoyltransferase 1C)	Cpt1c	Mus musculus (Mouse)	798	AMPA glutamate receptor complex [GO:0032281]; axon [GO:0030424]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; postsynapse [GO:0098794]	carnitine metabolic process [GO:0009437]; fatty acid beta-oxidation [GO:0006635]; fatty acid metabolic process [GO:0006631]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]	AMPA glutamate receptor complex [GO:0032281]; axon [GO:0030424]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; postsynapse [GO:0098794]; carnitine O-palmitoyltransferase activity [GO:0004095]; carnitine metabolic process [GO:0009437]; fatty acid beta-oxidation [GO:0006635]; fatty acid metabolic process [GO:0006631]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]	carnitine O-palmitoyltransferase activity [GO:0004095]	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Synapse {ECO:0000305|PubMed:22632720}. Cell projection, axon {ECO:0000269|PubMed:25751282}. Cell projection, dendrite {ECO:0000269|PubMed:25751282}. Endoplasmic reticulum {ECO:0000269|PubMed:25751282}. Note=Localized in the soma and dendritic and axonal projections. {ECO:0000269|PubMed:25751282}.
