Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Subcellular location [CC]
Q4QRL3	reviewed	CC88B_MOUSE	Coiled-coil domain-containing protein 88B (Gipie) (Hook-related protein 3) (HkRP3)	Ccdc88b Ccdc88	Mus musculus (Mouse)	1481	cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; defense response to protozoan [GO:0042832]; positive regulation of cytokine production [GO:0001819]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell proliferation [GO:0042102]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; dynein light intermediate chain binding [GO:0051959]; microtubule binding [GO:0008017]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; defense response to protozoan [GO:0042832]; positive regulation of cytokine production [GO:0001819]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell proliferation [GO:0042102]	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:25403443}; Peripheral membrane protein {ECO:0000305}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000250|UniProtKB:A6NC98}. Endoplasmic reticulum {ECO:0000250|UniProtKB:A6NC98}. Golgi apparatus {ECO:0000250|UniProtKB:A6NC98}. Cytoplasm {ECO:0000250|UniProtKB:A6NC98}.
Q571B6	reviewed	WHAMM_MOUSE	WASP homolog-associated protein with actin, membranes and microtubules (WAS protein homology region 2 domain-containing protein 1) (WH2 domain-containing protein 1)	Whamm Kiaa1971 Whdc1	Mus musculus (Mouse)	793	actin filament organization [GO:0007015]; actin filament reorganization [GO:0090527]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; focal adhesion assembly [GO:0048041]; lamellipodium assembly [GO:0030032]; plasma membrane tubulation [GO:0097320]; positive regulation of actin nucleation [GO:0051127]	cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; microtubule [GO:0005874]	cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; microtubule [GO:0005874]; actin binding [GO:0003779]; Arp2/3 complex binding [GO:0071933]; microtubule binding [GO:0008017]; small GTPase binding [GO:0031267]; actin filament organization [GO:0007015]; actin filament reorganization [GO:0090527]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; focal adhesion assembly [GO:0048041]; lamellipodium assembly [GO:0030032]; plasma membrane tubulation [GO:0097320]; positive regulation of actin nucleation [GO:0051127]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8TF30}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000250|UniProtKB:Q8TF30}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q8TF30}. Golgi apparatus, cis-Golgi network {ECO:0000250|UniProtKB:Q8TF30}. Note=Localized to a perinuclear compartment near the microtubule-organizing center (MTOC). Also detected on tubulo-vesicular structures in the cell periphery that frequently localized along microtubules. {ECO:0000250|UniProtKB:Q8TF30}.
Q5DTK1	reviewed	CHSS3_MOUSE	Chondroitin sulfate synthase 3 (EC 2.4.1.175) (EC 2.4.1.226) (Carbohydrate synthase 2) (Chondroitin glucuronyltransferase 3) (Chondroitin synthase 2) (ChSy-2) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3) (N-acetylgalactosaminyltransferase 3)	Chsy3 Chsy2 Css3 Kiaa4168	Mus musculus (Mouse)	884	chondroitin sulfate biosynthetic process [GO:0030206]	Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]	Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047238]; metal ion binding [GO:0046872]; N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity [GO:0050510]; chondroitin sulfate biosynthetic process [GO:0030206]	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q5F2L2	reviewed	FUT10_MOUSE	Alpha-(1,3)-fucosyltransferase 10 (EC 2.4.1.-) (Fucosyltransferase X) (Fuc-TX) (FucT-X) (Galactoside 3-L-fucosyltransferase 10) (Fucosyltransferase 10)	Fut10	Mus musculus (Mouse)	481	cerebral cortex radially oriented cell migration [GO:0021799]; fucosylation [GO:0036065]; N-glycan fucosylation [GO:0036071]; neuroblast migration [GO:0097402]; neuronal stem cell division [GO:0036445]; neuronal stem cell population maintenance [GO:0097150]; oligosaccharide biosynthetic process [GO:0009312]; protein glycosylation [GO:0006486]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; alpha-(1->3)-fucosyltransferase activity [GO:0046920]; fucosyltransferase activity [GO:0008417]; cerebral cortex radially oriented cell migration [GO:0021799]; fucosylation [GO:0036065]; N-glycan fucosylation [GO:0036071]; neuroblast migration [GO:0097402]; neuronal stem cell division [GO:0036445]; neuronal stem cell population maintenance [GO:0097150]; oligosaccharide biosynthetic process [GO:0009312]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6P4F1}; Single-pass type II membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q6P4F1}; Single-pass type II membrane protein {ECO:0000255}.
Q5H8C4	reviewed	VP13A_MOUSE	Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein homolog) (Chorein) (Vacuolar protein sorting-associated protein 13A)	Vps13a Chac Kiaa0986	Mus musculus (Mouse)	3166	autophagy [GO:0006914]; flagellated sperm motility [GO:0030317]; lipid transport [GO:0006869]; locomotory behavior [GO:0007626]; lysosomal protein catabolic process [GO:1905146]; nervous system development [GO:0007399]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]; social behavior [GO:0035176]; sperm mitochondrion organization [GO:0030382]	dense core granule [GO:0031045]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; extrinsic component of membrane [GO:0019898]; Golgi apparatus [GO:0005794]; lipid droplet [GO:0005811]; lysosomal membrane [GO:0005765]; mitochondria-associated endoplasmic reticulum membrane [GO:0044233]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; neuronal dense core vesicle lumen [GO:0099013]; sperm midpiece [GO:0097225]	dense core granule [GO:0031045]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; extrinsic component of membrane [GO:0019898]; Golgi apparatus [GO:0005794]; lipid droplet [GO:0005811]; lysosomal membrane [GO:0005765]; mitochondria-associated endoplasmic reticulum membrane [GO:0044233]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; neuronal dense core vesicle lumen [GO:0099013]; sperm midpiece [GO:0097225]; autophagy [GO:0006914]; flagellated sperm motility [GO:0030317]; lipid transport [GO:0006869]; locomotory behavior [GO:0007626]; lysosomal protein catabolic process [GO:1905146]; nervous system development [GO:0007399]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]; social behavior [GO:0035176]; sperm mitochondrion organization [GO:0030382]	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q96RL7}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q96RL7}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q96RL7}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q96RL7}. Endosome membrane {ECO:0000250|UniProtKB:Q96RL7}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q96RL7}. Lysosome membrane {ECO:0000250|UniProtKB:Q96RL7}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q96RL7}. Lipid droplet {ECO:0000250|UniProtKB:Q96RL7}. Golgi apparatus {ECO:0000269|PubMed:22366033}. Cytoplasmic vesicle, secretory vesicle, neuronal dense core vesicle {ECO:0000269|PubMed:22366033}. Note=Localizes at mitochondria-endosomes and mitochondria-endoplasmic reticulum contact sites. {ECO:0000250|UniProtKB:Q96RL7}.
Q5HZI1	reviewed	MTUS1_MOUSE	Microtubule-associated tumor suppressor 1 homolog (AT2 receptor-binding protein) (Angiotensin-II type 2 receptor-interacting protein) (Coiled-coiled tumor suppressor gene 1 protein) (Mitochondrial tumor suppressor 1 homolog)	Mtus1 Atbp Atip Cctsg1 Kiaa1288 Mtsg1	Mus musculus (Mouse)	1210	cell cycle [GO:0007049]; regulation of macrophage chemotaxis [GO:0010758]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; microtubule binding [GO:0008017]; cell cycle [GO:0007049]; regulation of macrophage chemotaxis [GO:0010758]	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Golgi apparatus. Cell membrane. Nucleus. Note=In neurons, translocates into the nucleus after treatment with angiotensin-II.
Q5JCT0	reviewed	GCNT3_MOUSE	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.148) (EC 2.4.1.150) (C2GnT-mucin type) (C2GnT-M) (Mucus-type core 2 beta-1,6-N-acetylglucosaminyltransferase)	Gcnt3	Mus musculus (Mouse)	437	intestinal absorption [GO:0050892]; kidney morphogenesis [GO:0060993]; protein O-linked glycosylation [GO:0006493]; tissue morphogenesis [GO:0048729]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity [GO:0047225]; acetylgalactosaminyl-O-glycosyl-seryl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity [GO:0106325]; acetylgalactosaminyl-O-glycosyl-threonyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity [GO:0106326]; acetylglucosaminyltransferase activity [GO:0008375]; beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity [GO:0003829]; N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity [GO:0008109]; intestinal absorption [GO:0050892]; kidney morphogenesis [GO:0060993]; protein O-linked glycosylation [GO:0006493]; tissue morphogenesis [GO:0048729]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q5KU39	reviewed	VPS41_MOUSE	Vacuolar protein sorting-associated protein 41 homolog (VAM2 homolog) (mVAM2)	Vps41	Mus musculus (Mouse)	853	cellular response to starvation [GO:0009267]; endosomal vesicle fusion [GO:0034058]; endosome to lysosome transport [GO:0008333]; Golgi vesicle transport [GO:0048193]; late endosome to lysosome transport [GO:1902774]; macroautophagy [GO:0016236]; protein targeting to vacuole [GO:0006623]; regulated exocytosis [GO:0045055]; vesicle-mediated transport [GO:0016192]	AP-3 adaptor complex [GO:0030123]; clathrin complex [GO:0071439]; clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; HOPS complex [GO:0030897]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal HOPS complex [GO:1902501]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]	AP-3 adaptor complex [GO:0030123]; clathrin complex [GO:0071439]; clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; HOPS complex [GO:0030897]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal HOPS complex [GO:1902501]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; microtubule binding [GO:0008017]; protein self-association [GO:0043621]; cellular response to starvation [GO:0009267]; endosomal vesicle fusion [GO:0034058]; endosome to lysosome transport [GO:0008333]; Golgi vesicle transport [GO:0048193]; late endosome to lysosome transport [GO:1902774]; macroautophagy [GO:0016236]; protein targeting to vacuole [GO:0006623]; regulated exocytosis [GO:0045055]; vesicle-mediated transport [GO:0016192]	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250|UniProtKB:P49754}; Peripheral membrane protein {ECO:0000250|UniProtKB:P49754}. Late endosome membrane {ECO:0000250|UniProtKB:P49754}; Peripheral membrane protein {ECO:0000250|UniProtKB:P49754}. Early endosome membrane {ECO:0000250|UniProtKB:P49754}; Peripheral membrane protein {ECO:0000250|UniProtKB:P49754}. Lysosome membrane {ECO:0000250|UniProtKB:P49754}; Peripheral membrane protein {ECO:0000250|UniProtKB:P49754}. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:P49754}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000250|UniProtKB:P49754}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P49754}.
Q5MJS3	reviewed	FA20C_MOUSE	Extracellular serine/threonine protein kinase FAM20C (EC 2.7.11.1) (Dentin matrix protein 4) (DMP-4) (Golgi-enriched fraction casein kinase) (GEF-CK)	Fam20c Dmp4 Kiaa4081	Mus musculus (Mouse)	579	ATP metabolic process [GO:0046034]; biomineral tissue development [GO:0031214]; dentinogenesis [GO:0097187]; enamel mineralization [GO:0070166]; odontoblast differentiation [GO:0071895]; osteoclast maturation [GO:0036179]; positive regulation of bone mineralization [GO:0030501]; positive regulation of osteoblast differentiation [GO:0045669]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of fibroblast growth factor receptor signaling pathway [GO:0040036]; regulation of phosphorus metabolic process [GO:0051174]; skeletal system development [GO:0001501]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; manganese ion binding [GO:0030145]; protease binding [GO:0002020]; protein kinase activity [GO:0004672]; protein self-association [GO:0043621]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ATP metabolic process [GO:0046034]; biomineral tissue development [GO:0031214]; dentinogenesis [GO:0097187]; enamel mineralization [GO:0070166]; odontoblast differentiation [GO:0071895]; osteoclast maturation [GO:0036179]; positive regulation of bone mineralization [GO:0030501]; positive regulation of osteoblast differentiation [GO:0045669]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of fibroblast growth factor receptor signaling pathway [GO:0040036]; regulation of phosphorus metabolic process [GO:0051174]; skeletal system development [GO:0001501]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q8IXL6}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q8IXL6}. Secreted {ECO:0000269|PubMed:17369251}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q8IXL6}. Note=Resides in the Golgi apparatus membrane and is secreted following propeptide cleavage. Retained in the endoplasmic reticulum (ER) in response to ER stress where it phosphorylates P4HB. {ECO:0000250|UniProtKB:Q8IXL6}.
Q5NCH9	reviewed	GRM6_MOUSE	Metabotropic glutamate receptor 6 (mGluR6)	Grm6 Gprc1f Mglur6	Mus musculus (Mouse)	871	adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway [GO:0007196]; chemical synaptic transmission [GO:0007268]; detection of light stimulus involved in visual perception [GO:0050908]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotory behavior [GO:0007626]; positive regulation of calcium ion import across plasma membrane [GO:1905665]; regulation of synaptic transmission, glutamatergic [GO:0051966]; retina development in camera-type eye [GO:0060041]; sensory perception of light stimulus [GO:0050953]; signal transduction [GO:0007165]; visual perception [GO:0007601]	dendrite [GO:0030425]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; new growing cell tip [GO:0035841]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]	dendrite [GO:0030425]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; new growing cell tip [GO:0035841]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; adenylate cyclase inhibiting G protein-coupled glutamate receptor activity [GO:0001640]; glutamate receptor activity [GO:0008066]; group III metabotropic glutamate receptor activity [GO:0001642]; protein homodimerization activity [GO:0042803]; adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway [GO:0007196]; chemical synaptic transmission [GO:0007268]; detection of light stimulus involved in visual perception [GO:0050908]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotory behavior [GO:0007626]; positive regulation of calcium ion import across plasma membrane [GO:1905665]; regulation of synaptic transmission, glutamatergic [GO:0051966]; retina development in camera-type eye [GO:0060041]; sensory perception of light stimulus [GO:0050953]; signal transduction [GO:0007165]; visual perception [GO:0007601]	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell projection, dendrite. Note=Subject to trafficking from the endoplasmic reticulum to the Golgi apparatus and then to the cell membrane (By similarity). Detected at dendritic tips of bipolar cells. {ECO:0000250}.
Q5PT53	reviewed	NTCP7_MOUSE	Sodium/bile acid cotransporter 7 (Na(+)/bile acid cotransporter 7) (Solute carrier family 10 member 7)	Slc10a7 P7	Mus musculus (Mouse)	340	bone development [GO:0060348]; glycoprotein transport [GO:0034436]; Golgi vesicle transport [GO:0048193]; heparin biosynthetic process [GO:0030210]; intracellular calcium ion homeostasis [GO:0006874]; sodium ion transport [GO:0006814]	cis-Golgi network [GO:0005801]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi medial cisterna [GO:0005797]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]	cis-Golgi network [GO:0005801]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi medial cisterna [GO:0005797]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; bile acid transmembrane transporter activity [GO:0015125]; symporter activity [GO:0015293]; bone development [GO:0060348]; glycoprotein transport [GO:0034436]; Golgi vesicle transport [GO:0048193]; heparin biosynthetic process [GO:0030210]; intracellular calcium ion homeostasis [GO:0006874]; sodium ion transport [GO:0006814]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q0GE19}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q0GE19}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q0GE19}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q0GE19}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q0GE19}.
Q5RJI4	reviewed	PKDCC_MOUSE	Extracellular tyrosine-protein kinase PKDCC (EC 2.7.10.2) (Protein kinase domain-containing protein, cytoplasmic) (Protein kinase-like protein SgK493) (Sugen kinase 493) (Vertebrate lonesome kinase)	Pkdcc Sgk493 Vlk	Mus musculus (Mouse)	492	bone mineralization [GO:0030282]; cell differentiation [GO:0030154]; embryonic digestive tract development [GO:0048566]; limb morphogenesis [GO:0035108]; lung alveolus development [GO:0048286]; multicellular organism growth [GO:0035264]; negative regulation of Golgi to plasma membrane protein transport [GO:0042997]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of bone mineralization [GO:0030501]; positive regulation of chondrocyte differentiation [GO:0032332]; protein transport [GO:0015031]; roof of mouth development [GO:0060021]; skeletal system development [GO:0001501]	extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]	extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]; bone mineralization [GO:0030282]; cell differentiation [GO:0030154]; embryonic digestive tract development [GO:0048566]; limb morphogenesis [GO:0035108]; lung alveolus development [GO:0048286]; multicellular organism growth [GO:0035264]; negative regulation of Golgi to plasma membrane protein transport [GO:0042997]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of bone mineralization [GO:0030501]; positive regulation of chondrocyte differentiation [GO:0032332]; protein transport [GO:0015031]; roof of mouth development [GO:0060021]; skeletal system development [GO:0001501]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25171405}. Golgi apparatus {ECO:0000269|PubMed:19465597}. Note=Both secreted and present in the Golgi apparatus. {ECO:0000269|PubMed:19465597, ECO:0000269|PubMed:25171405}.
Q5S003	reviewed	SPG17_MOUSE	Sperm-associated antigen 17 (Projection protein PF6 homolog)	Spag17	Mus musculus (Mouse)	2320	axonemal central apparatus assembly [GO:1904158]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; establishment of localization in cell [GO:0051649]; intramanchette transport [GO:1990953]; manchette assembly [GO:1905198]; motile cilium assembly [GO:0044458]; spermatogenesis [GO:0007283]	acrosomal vesicle [GO:0001669]; axonemal central apparatus [GO:1990716]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; manchette [GO:0002177]; microtubule [GO:0005874]; motile cilium [GO:0031514]	acrosomal vesicle [GO:0001669]; axonemal central apparatus [GO:1990716]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; manchette [GO:0002177]; microtubule [GO:0005874]; motile cilium [GO:0031514]; axonemal central apparatus assembly [GO:1904158]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; establishment of localization in cell [GO:0051649]; intramanchette transport [GO:1990953]; manchette assembly [GO:1905198]; motile cilium assembly [GO:0044458]; spermatogenesis [GO:0007283]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15827353, ECO:0000269|PubMed:29690537}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000269|PubMed:15827353}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:29690537}. Golgi apparatus {ECO:0000269|PubMed:29690537}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:29690537}. Note=Detected in the cytoplasm of round spermatids and in condensing spermatids. Localized to the central pair of the sperm flagellar axoneme. Colocalizes with SPAG6 on microtubules. Localizes to the manchette in elongating spermatids (PubMed:29690537). {ECO:0000269|PubMed:29690537}.
