"","Entry","From","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","X.1","NegControl.1","NegControl.2","INT.1","INT.2","INT.3","INT.4","POS.1","POS.2","POS.3","POS.4","pvalue","imputed_log2FC","imputed_Pvalue","imputed_adjPvalue","X","log10pvalue","diffexpressed","unpacked"
"12","A0A140T8L3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879,14.79066116,15.73987926,16.61740861,17.27183711,17.05047498,17.10462294,15.96507214,17.07312068,16.64577699,16.69963785,0.218811935,-0.415183996,0.218811935,0.459617854,NA,6.59928993292545,"NS","A0A140T8L3"
"13","A0A140T8T4","A0A140T8T4","unreviewed","A0A140T8T4_MOUSE","60S ribosomal protein L9","Rpl9-ps6","Mus musculus (Mouse)",192,"cytoplasmic translation [GO:0002181]","cytosolic large ribosomal subunit [GO:0022625]","cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]","rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]",431,15.77928332,15.06449017,16.89474673,17.60030495,17.01192607,17.24144323,16.36226919,17.63459837,16.92300243,17.61948924,0.884043898,-0.052265433,0.884043898,0.938145543,NA,0.535261691658609,"NS","A0A140T8T4"
"14","A0A1B0GRG8","A0A1B0GRG8","unreviewed","A0A1B0GRG8_MOUSE","Carbonyl reductase (NADPH) (EC 1.1.1.184)","Gm5678","Mus musculus (Mouse)",277,"","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; carbonyl reductase (NADPH) activity [GO:0004090]; oxidoreductase activity [GO:0016491]","carbonyl reductase (NADPH) activity [GO:0004090]; oxidoreductase activity [GO:0016491]",1175,14.26231511,14.29397449,16.12456562,16.99567883,16.26064393,16.40887702,14.81738343,16.08650946,16.01087772,16.03025761,0.071368467,-0.711184295,0.071368467,0.274364626,NA,11.4649363182078,"NS","A0A1B0GRG8"
"15","A0A1B0GSH8","A0A1B0GSH8","unreviewed","A0A1B0GSH8_MOUSE","Predicted gene 45808","Gm45808","Mus musculus (Mouse)",263,"cellular response to DNA damage stimulus [GO:0006974]; D-xylose catabolic process [GO:0042843]; extrinsic apoptotic signaling pathway [GO:0097191]; intracellular signal transduction [GO:0035556]; regulation of apoptotic process [GO:0042981]","cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]","cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; D-xylose 1-dehydrogenase (NADP+) activity [GO:0047837]; cellular response to DNA damage stimulus [GO:0006974]; D-xylose catabolic process [GO:0042843]; extrinsic apoptotic signaling pathway [GO:0097191]; intracellular signal transduction [GO:0035556]; regulation of apoptotic process [GO:0042981]","D-xylose 1-dehydrogenase (NADP+) activity [GO:0047837]",582,13.48876526,14.25182863,16.08967806,16.40070393,15.92609126,16.04217235,15.27467482,16.45423502,16.24497049,15.71026834,0.540140013,-0.193624234,0.540140013,0.737690187,NA,2.67493649451934,"NS","A0A1B0GSH8"
"16","A0A1D5RLD8","A0A1D5RLD8","unreviewed","A0A1D5RLD8_MOUSE","Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)","Gm10358","Mus musculus (Mouse)",333,"glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]","cytosol [GO:0005829]","cytosol [GO:0005829]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]",1194,15.730732,16.11176389,17.46108014,16.91579888,17.56194159,18.33302342,16.06234216,17.60415062,16.93345445,16.76271253,0.115707803,-0.727296068,0.115707803,0.336635925,NA,9.36637352495318,"NS","A0A1D5RLD8"
"18","A0A1W2P6Q8","A0A1W2P6Q8","unreviewed","A0A1W2P6Q8_MOUSE","Predicted gene 9040 (Predicted gene 9044)","Gm9044 Gm9040","Mus musculus (Mouse)",802,"mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P6Q8"
"19","A0A1W2P7H4","A0A1W2P7H4","unreviewed","A0A1W2P7H4_MOUSE","Predicted gene 9048","Gm9048","Mus musculus (Mouse)",802,"mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P7H4"
"20","A0A1W2P7S8","A0A1W2P7S8","unreviewed","A0A1W2P7S8_MOUSE","Predicted gene, 32717 (Predicted gene, 32802)","Gm32717 Gm32802","Mus musculus (Mouse)",802,"mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P7S8"
"21","A0A1W2P7Z8","A0A1W2P7Z8","unreviewed","A0A1W2P7Z8_MOUSE","Predicted gene 9045 (Predicted gene 9049)","Gm9045 Gm9049","Mus musculus (Mouse)",802,"mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P7Z8"
"22","A0A1W2P855","A0A1W2P855","unreviewed","A0A1W2P855_MOUSE","Predicted gene 9046","Gm9046","Mus musculus (Mouse)",802,"mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; mRNA splicing, via spliceosome [GO:0000398]; regulation of transcription by RNA polymerase II [GO:0006357]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P855"
"23","A0A1Y7VKY1","A0A1Y7VKY1","unreviewed","A0A1Y7VKY1_MOUSE","40S ribosomal protein S18","Rps18-ps5 Gm11361","Mus musculus (Mouse)",152,"translation [GO:0006412]","cytosol [GO:0005829]; small ribosomal subunit [GO:0015935]","cytosol [GO:0005829]; small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]",1345,12.99162813,13.37000622,14.76264157,16.28767631,15.04379629,15.40610533,13.54133866,14.7934509,14.69827058,14.24220651,0.037156382,-1.056238213,0.037156382,0.193498091,NA,14.299665808445,"INT","A0A1Y7VKY1"
"24","A0A1Y7VP24","A0A1Y7VP24","unreviewed","A0A1Y7VP24_MOUSE","DCN1-like protein (Defective in cullin neddylation protein 1-like protein)","Tes3-ps","Mus musculus (Mouse)",259,"positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein neddylation [GO:0045116]","ubiquitin ligase complex [GO:0000151]","ubiquitin ligase complex [GO:0000151]; cullin family protein binding [GO:0097602]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-like protein binding [GO:0032182]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein neddylation [GO:0045116]","cullin family protein binding [GO:0097602]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-like protein binding [GO:0032182]",718,11.28493974,11.44325439,13.43853198,14.40720136,13.7588478,13.75936809,12.7091269,14.28836145,13.574357,13.59374125,0.426438311,-0.299590658,0.426438311,0.653190304,NA,3.70143785434374,"NS","A0A1Y7VP24"
"25","A0A286YCV9","A0A286YCV9","unreviewed","A0A286YCV9_MOUSE","Kinesin family member 13B","Kif13b","Mus musculus (Mouse)",1847,"microtubule-based movement [GO:0007018]; regulation of axonogenesis [GO:0050770]","axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; microvillus [GO:0005902]; paranode region of axon [GO:0033270]","axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; microvillus [GO:0005902]; paranode region of axon [GO:0033270]; 14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein kinase binding [GO:0019901]; microtubule-based movement [GO:0007018]; regulation of axonogenesis [GO:0050770]","14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein kinase binding [GO:0019901]",181,12.41536232,11.82528739,14.82581711,15.34824646,14.94281532,15.06241194,14.4857968,15.63469552,15.90104492,15.47328208,0.343816805,0.328882118,0.343816805,0.588060222,NA,4.63672899782757,"NS","A0A286YCV9"
"27","A0A2I3BRT4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,8.745844,9.669452026,13.89595389,13.93470446,13.85953479,14.38147536,13.25424621,14.25111252,14.77694701,14.67154107,0.570928254,0.220544577,0.570928254,0.760698406,NA,2.43418464170292,"NS","A0A2I3BRT4"
"28","A11111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,11.93186522,12.53198696,16.75022094,17.64451467,16.62037576,16.89927393,15.87356804,17.59518943,17.10784225,16.77573901,0.743798039,-0.140511645,0.743798039,0.861197294,NA,1.285449709792,"NS","A11111"
"29","A11112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427,12.14450025,13.04309597,16.10477825,17.56529132,15.72748099,16.40432826,15.40483123,17.01406283,16.8095026,16.37839371,0.928287123,-0.048772111,0.928287123,0.962806894,NA,0.323176739448686,"NS","A11112"
"30","A2A432","A2A432","reviewed","CUL4B_MOUSE","Cullin-4B (CUL-4B)","Cul4b Kiaa0695","Mus musculus (Mouse)",970,"astrocyte differentiation [GO:0048708]; cell cycle [GO:0007049]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to UV [GO:0034644]; gene expression [GO:0010467]; histone H2A monoubiquitination [GO:0035518]; neuron projection development [GO:0031175]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of protein catabolic process [GO:0045732]; proteasomal protein catabolic process [GO:0010498]; protein ubiquitination [GO:0016567]; ribosome biogenesis [GO:0042254]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; UV-damage excision repair [GO:0070914]","Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Cul4B-RING E3 ubiquitin ligase complex [GO:0031465]; cullin-RING ubiquitin ligase complex [GO:0031461]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Cul4B-RING E3 ubiquitin ligase complex [GO:0031465]; cullin-RING ubiquitin ligase complex [GO:0031461]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; damaged DNA binding [GO:0003684]; protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]; astrocyte differentiation [GO:0048708]; cell cycle [GO:0007049]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to UV [GO:0034644]; gene expression [GO:0010467]; histone H2A monoubiquitination [GO:0035518]; neuron projection development [GO:0031175]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of protein catabolic process [GO:0045732]; proteasomal protein catabolic process [GO:0010498]; protein ubiquitination [GO:0016567]; ribosome biogenesis [GO:0042254]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; UV-damage excision repair [GO:0070914]","damaged DNA binding [GO:0003684]; protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]",797,10.14267432,10.36648674,12.72030522,13.88326296,13.25858298,13.14031356,11.95243462,13.51796029,13.17103277,12.90642203,0.37592284,-0.363653749,0.37592284,0.612754229,NA,4.24901286990027,"NS","A2A432"
"31","A2A4X6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,10.87828087,10.33617179,12.73286698,13.70401169,12.45879108,13.06255214,11.91262741,13.67275681,13.33678548,13.05636676,0.991195854,0.005078645,0.991195854,0.996711519,NA,0.0384052320653668,"NS","A2A4X6"
"32","A2A5R2","A2A5R2","reviewed","BIG2_MOUSE","Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)","Arfgef2 Arfgep2 Big2","Mus musculus (Mouse)",1792,"endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]","asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]","asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]; GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]; endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]","GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]",1443,11.11418395,10.40381946,13.85703646,14.82065303,14.28119263,13.53240223,11.63357121,13.36436781,12.91359875,13.21634645,0.023860268,-1.340850031,0.023860268,0.156951638,NA,16.2232468261591,"INT","A2A5R2"
