"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045582","GO:0045582","positive regulation of T cell differentiation","2/4","194/30636",0.000237369202586617,0.00699570743775643,0.00064490389071396,"P10107/P48025",2
"GO:0042102","GO:0042102","positive regulation of T cell proliferation","2/4","201/30636",0.000254776033360995,0.00699570743775643,0.00064490389071396,"P10107/P48025",2
"GO:0015718","GO:0015718","monocarboxylic acid transport","2/4","207/30636",0.000270181886935702,0.00699570743775643,0.00064490389071396,"P10107/P48025",2
"GO:0006690","GO:0006690","icosanoid metabolic process","2/4","212/30636",0.000283362315377569,0.00699570743775643,0.00064490389071396,"P10107/P48025",2
"GO:0046634","GO:0046634","regulation of alpha-beta T cell activation","2/4","212/30636",0.000283362315377569,0.00699570743775643,0.00064490389071396,"P10107/P48025",2
"GO:1902106","GO:1902106","negative regulation of leukocyte differentiation","2/4","218/30636",0.000299589181045768,0.00699570743775643,0.00064490389071396,"P10107/Q61554",2
"GO:1903707","GO:1903707","negative regulation of hemopoiesis","2/4","221/30636",0.000307870380881804,0.00699570743775643,0.00064490389071396,"P10107/Q61554",2
"GO:0045621","GO:0045621","positive regulation of lymphocyte differentiation","2/4","223/30636",0.000313453286416785,0.00699570743775643,0.00064490389071396,"P10107/P48025",2
"GO:0071621","GO:0071621","granulocyte chemotaxis","2/4","241/30636",0.0003659329608088,0.00781187320683135,0.000720142668868578,"P10107/P48025",2
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","2/4","251/30636",0.000396823210556758,0.00811834151597368,0.000748394651488623,"P10107/P48025",2
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","2/4","285/30636",0.000511093755172593,0.00985514200122666,0.000908502746388137,"P10107/P48025",2
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","2/4","288/30636",0.000521860879902023,0.00985514200122666,0.000908502746388137,"P10107/P48025",2
"GO:0097530","GO:0097530","granulocyte migration","2/4","299/30636",0.00056228787755598,0.0100579885176134,0.000927202285898543,"P10107/P48025",2
"GO:0045580","GO:0045580","regulation of T cell differentiation","2/4","302/30636",0.00057357164662561,0.0100579885176134,0.000927202285898543,"P10107/P48025",2
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","2/4","310/30636",0.000604202207947789,0.0102297684173229,0.000943037928920325,"P10107/P48025",2
"GO:0042129","GO:0042129","regulation of T cell proliferation","2/4","353/30636",0.000782278798087352,0.0117049801267933,0.00107903129049654,"P10107/P48025",2
"GO:0046631","GO:0046631","alpha-beta T cell activation","2/4","354/30636",0.000786689092024806,0.0117049801267933,0.00107903129049654,"P10107/P48025",2
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","2/4","354/30636",0.000786689092024806,0.0117049801267933,0.00107903129049654,"P10107/P48025",2
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","2/4","354/30636",0.000786689092024806,0.0117049801267933,0.00107903129049654,"P10107/P48025",2
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","2/4","361/30636",0.000817902703743506,0.0118114772805312,0.00108884880064925,"P10107/P48025",2
"GO:0050870","GO:0050870","positive regulation of T cell activation","2/4","404/30636",0.00102272673873383,0.0143473951062375,0.00132262405309939,"P10107/P48025",2
"GO:0097529","GO:0097529","myeloid leukocyte migration","2/4","421/30636",0.00110989197439062,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0030595","GO:0030595","leukocyte chemotaxis","2/4","424/30636",0.00112563706081781,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0042098","GO:0042098","T cell proliferation","2/4","429/30636",0.00115212058965243,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0006909","GO:0006909","phagocytosis","2/4","450/30636",0.0012666465499695,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0002238","GO:0002238","response to molecule of fungal origin","1/4","10/30636",0.00130507821423498,0.0147860919317554,0.00136306560845853,"P48025",1
"GO:0070459","GO:0070459","prolactin secretion","1/4","10/30636",0.00130507821423498,0.0147860919317554,0.00136306560845853,"P10107",1
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","2/4","460/30636",0.00132305054964653,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","2/4","468/30636",0.00136903985746187,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","2/4","475/30636",0.00140991132504401,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0016053","GO:0016053","organic acid biosynthetic process","2/4","476/30636",0.00141579813405105,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","2/4","476/30636",0.00141579813405105,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0015850","GO:0015850","organic hydroxy compound transport","2/4","479/30636",0.00143353056707953,0.0147860919317554,0.00136306560845853,"P60710/P48025",2
"GO:0017157","GO:0017157","regulation of exocytosis","2/4","494/30636",0.0015238114734774,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0046942","GO:0046942","carboxylic acid transport","2/4","498/30636",0.00154834157335616,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","2/4","498/30636",0.00154834157335616,0.0147860919317554,0.00136306560845853,"P10107/P48025",2
"GO:0071896","GO:0071896","protein localization to adherens junction","1/4","12/30636",0.00156594048971748,0.0147860919317554,0.00136306560845853,"P60710",1
"GO:0097350","GO:0097350","neutrophil clearance","1/4","12/30636",0.00156594048971748,0.0147860919317554,0.00136306560845853,"P10107",1
"GO:0035581","GO:0035581","sequestering of extracellular ligand from receptor","1/4","14/30636",0.00182675165832347,0.0166099085969782,0.00153119534713273,"Q61554",1
"GO:0045629","GO:0045629","negative regulation of T-helper 2 cell differentiation","1/4","14/30636",0.00182675165832347,0.0166099085969782,0.00153119534713273,"P10107",1
"GO:0033031","GO:0033031","positive regulation of neutrophil apoptotic process","1/4","16/30636",0.00208751172672828,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:1900115","GO:1900115","extracellular regulation of signal transduction","1/4","16/30636",0.00208751172672828,0.0177101913561749,0.00163262563686466,"Q61554",1
"GO:1900116","GO:1900116","extracellular negative regulation of signal transduction","1/4","16/30636",0.00208751172672828,0.0177101913561749,0.00163262563686466,"Q61554",1
"GO:0002576","GO:0002576","platelet degranulation","1/4","18/30636",0.00234822070160734,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0010519","GO:0010519","negative regulation of phospholipase activity","1/4","18/30636",0.00234822070160734,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:0038063","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","1/4","18/30636",0.00234822070160734,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0045627","GO:0045627","positive regulation of T-helper 1 cell differentiation","1/4","18/30636",0.00234822070160734,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:0019370","GO:0019370","leukotriene biosynthetic process","1/4","19/30636",0.00247855603106029,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0031394","GO:0031394","positive regulation of prostaglandin biosynthetic process","1/4","19/30636",0.00247855603106029,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:0044849","GO:0044849","estrous cycle","1/4","19/30636",0.00247855603106029,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:0032725","GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production","1/4","20/30636",0.00260887858963477,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0043313","GO:0043313","regulation of neutrophil degranulation","1/4","20/30636",0.00260887858963477,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0090237","GO:0090237","regulation of arachidonic acid secretion","1/4","20/30636",0.00260887858963477,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:1900086","GO:1900086","positive regulation of peptidyl-tyrosine autophosphorylation","1/4","20/30636",0.00260887858963477,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:2001204","GO:2001204","regulation of osteoclast development","1/4","20/30636",0.00260887858963477,0.0177101913561749,0.00163262563686466,"Q61554",1
"GO:0002223","GO:0002223","stimulatory C-type lectin receptor signaling pathway","1/4","21/30636",0.00273918837816522,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0070365","GO:0070365","hepatocyte differentiation","1/4","21/30636",0.00273918837816522,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:1900084","GO:1900084","regulation of peptidyl-tyrosine autophosphorylation","1/4","21/30636",0.00273918837816522,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:1990840","GO:1990840","response to lectin","1/4","21/30636",0.00273918837816522,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:1990858","GO:1990858","cellular response to lectin","1/4","21/30636",0.00273918837816522,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0032717","GO:0032717","negative regulation of interleukin-8 production","1/4","22/30636",0.00286948539748522,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:2001280","GO:2001280","positive regulation of unsaturated fatty acid biosynthetic process","1/4","22/30636",0.00286948539748522,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:0045588","GO:0045588","positive regulation of gamma-delta T cell differentiation","1/4","23/30636",0.00299976964842963,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0046645","GO:0046645","positive regulation of gamma-delta T cell activation","1/4","23/30636",0.00299976964842963,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0090493","GO:0090493","catecholamine uptake","1/4","23/30636",0.00299976964842963,0.0177101913561749,0.00163262563686466,"P60710",1
"GO:0002220","GO:0002220","innate immune response activating cell surface receptor signaling pathway","1/4","24/30636",0.00313004113183235,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0034333","GO:0034333","adherens junction assembly","1/4","24/30636",0.00313004113183235,0.0177101913561749,0.00163262563686466,"P60710",1
"GO:0038065","GO:0038065","collagen-activated signaling pathway","1/4","24/30636",0.00313004113183235,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0051451","GO:0051451","myoblast migration","1/4","24/30636",0.00313004113183235,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:1902563","GO:1902563","regulation of neutrophil activation","1/4","24/30636",0.00313004113183235,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0031340","GO:0031340","positive regulation of vesicle fusion","1/4","25/30636",0.00326029984852727,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:0032645","GO:0032645","regulation of granulocyte macrophage colony-stimulating factor production","1/4","25/30636",0.00326029984852727,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0033029","GO:0033029","regulation of neutrophil apoptotic process","1/4","25/30636",0.00326029984852727,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:0043312","GO:0043312","neutrophil degranulation","1/4","25/30636",0.00326029984852727,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0045625","GO:0045625","regulation of T-helper 1 cell differentiation","1/4","25/30636",0.00326029984852727,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:0071257","GO:0071257","cellular response to electrical stimulus","1/4","25/30636",0.00326029984852727,0.0177101913561749,0.00163262563686466,"P60710",1
"GO:0001820","GO:0001820","serotonin secretion","1/4","26/30636",0.00339054579934917,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0002758","GO:0002758","innate immune response-activating signal transduction","1/4","26/30636",0.00339054579934917,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0002829","GO:0002829","negative regulation of type 2 immune response","1/4","26/30636",0.00339054579934917,0.0177101913561749,0.00163262563686466,"P10107",1
"GO:0051712","GO:0051712","positive regulation of killing of cells of other organism","1/4","26/30636",0.00339054579934917,0.0177101913561749,0.00163262563686466,"P48025",1
"GO:0032604","GO:0032604","granulocyte macrophage colony-stimulating factor production","1/4","27/30636",0.0035207789851317,0.0178216750690687,0.00164290283625245,"P48025",1
"GO:0045176","GO:0045176","apical protein localization","1/4","27/30636",0.0035207789851317,0.0178216750690687,0.00164290283625245,"P60710",1
"GO:0051709","GO:0051709","regulation of killing of cells of other organism","1/4","27/30636",0.0035207789851317,0.0178216750690687,0.00164290283625245,"P48025",1
"GO:0031392","GO:0031392","regulation of prostaglandin biosynthetic process","1/4","29/30636",0.00378120706491536,0.0185657266887344,0.00171149372411958,"P10107",1
"GO:0033034","GO:0033034","positive regulation of myeloid cell apoptotic process","1/4","29/30636",0.00378120706491536,0.0185657266887344,0.00171149372411958,"P10107",1
"GO:0045628","GO:0045628","regulation of T-helper 2 cell differentiation","1/4","29/30636",0.00378120706491536,0.0185657266887344,0.00171149372411958,"P10107",1
"GO:0045586","GO:0045586","regulation of gamma-delta T cell differentiation","1/4","30/30636",0.00391140196058426,0.0186456151713289,0.00171885829642436,"P48025",1
"GO:0046643","GO:0046643","regulation of gamma-delta T cell activation","1/4","30/30636",0.00391140196058426,0.0186456151713289,0.00171885829642436,"P48025",1
"GO:0071639","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","1/4","30/30636",0.00391140196058426,0.0186456151713289,0.00171885829642436,"P48025",1
"GO:0001781","GO:0001781","neutrophil apoptotic process","1/4","31/30636",0.00404158409455013,0.0190809402925396,0.00175898902900461,"P10107",1
"GO:2001279","GO:2001279","regulation of unsaturated fatty acid biosynthetic process","1/4","32/30636",0.00417175346764664,0.0195079138344238,0.00179834986575244,"P10107",1
"GO:0036035","GO:0036035","osteoclast development","1/4","33/30636",0.00430191008070802,0.0199267721662984,0.00183696259652875,"Q61554",1
"GO:0045064","GO:0045064","T-helper 2 cell differentiation","1/4","34/30636",0.00443205393456791,0.0201804761239611,0.00186035046270839,"P10107",1
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","1/4","35/30636",0.00456218503006045,0.0201804761239611,0.00186035046270839,"P48025",1
"GO:0032429","GO:0032429","regulation of phospholipase A2 activity","1/4","35/30636",0.00456218503006045,0.0201804761239611,0.00186035046270839,"P10107",1
"GO:0098974","GO:0098974","postsynaptic actin cytoskeleton organization","1/4","35/30636",0.00456218503006045,0.0201804761239611,0.00186035046270839,"P60710",1
"GO:0099188","GO:0099188","postsynaptic cytoskeleton organization","1/4","35/30636",0.00456218503006045,0.0201804761239611,0.00186035046270839,"P60710",1
"GO:0006691","GO:0006691","leukotriene metabolic process","1/4","36/30636",0.00469230336801951,0.0202098329271718,0.00186305673891818,"P48025",1
"GO:0042492","GO:0042492","gamma-delta T cell differentiation","1/4","36/30636",0.00469230336801951,0.0202098329271718,0.00186305673891818,"P48025",1
"GO:0060192","GO:0060192","negative regulation of lipase activity","1/4","36/30636",0.00469230336801951,0.0202098329271718,0.00186305673891818,"P10107",1
"GO:0045579","GO:0045579","positive regulation of B cell differentiation","1/4","37/30636",0.00482240894927854,0.0202376307187672,0.00186561929661698,"P48025",1
"GO:0045623","GO:0045623","negative regulation of T-helper cell differentiation","1/4","37/30636",0.00482240894927854,0.0202376307187672,0.00186561929661698,"P10107",1
"GO:0071404","GO:0071404","cellular response to low-density lipoprotein particle stimulus","1/4","37/30636",0.00482240894927854,0.0202376307187672,0.00186561929661698,"P48025",1
"GO:0002281","GO:0002281","macrophage activation involved in immune response","1/4","40/30636",0.0052126491611949,0.0216899215097178,0.00199949967824604,"P48025",1
"GO:0045624","GO:0045624","positive regulation of T-helper cell differentiation","1/4","41/30636",0.00534270372399226,0.0220442649452118,0.00203216506087277,"P10107",1
"GO:0032930","GO:0032930","positive regulation of superoxide anion generation","1/4","42/30636",0.0054727455342588,0.0221237410973178,0.00203949162222031,"P48025",1
"GO:0046629","GO:0046629","gamma-delta T cell activation","1/4","43/30636",0.00560277459282787,0.0221237410973178,0.00203949162222031,"P48025",1
"GO:0090050","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis","1/4","43/30636",0.00560277459282787,0.0221237410973178,0.00203949162222031,"P10107",1
"GO:0006837","GO:0006837","serotonin transport","1/4","44/30636",0.00573279090053302,0.0221237410973178,0.00203949162222031,"P48025",1
"GO:0010165","GO:0010165","response to X-ray","1/4","44/30636",0.00573279090053302,0.0221237410973178,0.00203949162222031,"P10107",1
"GO:0045063","GO:0045063","T-helper 1 cell differentiation","1/4","44/30636",0.00573279090053302,0.0221237410973178,0.00203949162222031,"P10107",1
"GO:1904030","GO:1904030","negative regulation of cyclin-dependent protein kinase activity","1/4","44/30636",0.00573279090053302,0.0221237410973178,0.00203949162222031,"P60710",1
"GO:0043371","GO:0043371","negative regulation of CD4-positive, alpha-beta T cell differentiation","1/4","45/30636",0.00586279445820825,0.0221237410973178,0.00203949162222031,"P10107",1
"GO:0032928","GO:0032928","regulation of superoxide anion generation","1/4","46/30636",0.0059927852666869,0.0221237410973178,0.00203949162222031,"P48025",1
"GO:0033008","GO:0033008","positive regulation of mast cell activation involved in immune response","1/4","46/30636",0.0059927852666869,0.0221237410973178,0.00203949162222031,"P48025",1
"GO:0043306","GO:0043306","positive regulation of mast cell degranulation","1/4","46/30636",0.0059927852666869,0.0221237410973178,0.00203949162222031,"P48025",1
"GO:0045723","GO:0045723","positive regulation of fatty acid biosynthetic process","1/4","46/30636",0.0059927852666869,0.0221237410973178,0.00203949162222031,"P10107",1
"GO:0071605","GO:0071605","monocyte chemotactic protein-1 production","1/4","46/30636",0.0059927852666869,0.0221237410973178,0.00203949162222031,"P48025",1
"GO:0071637","GO:0071637","regulation of monocyte chemotactic protein-1 production","1/4","46/30636",0.0059927852666869,0.0221237410973178,0.00203949162222031,"P48025",1
"GO:0150105","GO:0150105","protein localization to cell-cell junction","1/4","47/30636",0.00612276332680251,0.0224349014437316,0.00206817614338184,"P60710",1
"GO:0032753","GO:0032753","positive regulation of interleukin-4 production","1/4","48/30636",0.00625272863938842,0.0227414056439979,0.00209643143464875,"P48025",1
"GO:0033630","GO:0033630","positive regulation of cell adhesion mediated by integrin","1/4","49/30636",0.00638268120527852,0.0230433564102335,0.00212426696460508,"P48025",1
"GO:0031338","GO:0031338","regulation of vesicle fusion","1/4","50/30636",0.00651262102530581,0.0231717168364141,0.0021360999549058,"P10107",1
"GO:0046641","GO:0046641","positive regulation of alpha-beta T cell proliferation","1/4","50/30636",0.00651262102530581,0.0231717168364141,0.0021360999549058,"P48025",1
"GO:0045780","GO:0045780","positive regulation of bone resorption","1/4","51/30636",0.00664254810030407,0.0233299740267442,0.00215068899807054,"P48025",1
"GO:0015874","GO:0015874","norepinephrine transport","1/4","52/30636",0.00677246243110674,0.0233299740267442,0.00215068899807054,"P60710",1
"GO:0031954","GO:0031954","positive regulation of protein autophosphorylation","1/4","52/30636",0.00677246243110674,0.0233299740267442,0.00215068899807054,"P48025",1
"GO:0090330","GO:0090330","regulation of platelet aggregation","1/4","52/30636",0.00677246243110674,0.0233299740267442,0.00215068899807054,"P48025",1
"GO:0046639","GO:0046639","negative regulation of alpha-beta T cell differentiation","1/4","53/30636",0.00690236401854705,0.0233299740267442,0.00215068899807054,"P10107",1
"GO:0055094","GO:0055094","response to lipoprotein particle","1/4","53/30636",0.00690236401854705,0.0233299740267442,0.00215068899807054,"P48025",1
"GO:0001516","GO:0001516","prostaglandin biosynthetic process","1/4","54/30636",0.00703225286345854,0.0233299740267442,0.00215068899807054,"P10107",1
"GO:0032303","GO:0032303","regulation of icosanoid secretion","1/4","54/30636",0.00703225286345854,0.0233299740267442,0.00215068899807054,"P48025",1
"GO:0046457","GO:0046457","prostanoid biosynthetic process","1/4","54/30636",0.00703225286345854,0.0233299740267442,0.00215068899807054,"P10107",1
"GO:0070633","GO:0070633","transepithelial transport","1/4","54/30636",0.00703225286345854,0.0233299740267442,0.00215068899807054,"P60710",1
"GO:0043372","GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","1/4","55/30636",0.00716212896667423,0.0236013780042755,0.00217570855222177,"P10107",1
"GO:0010803","GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway","1/4","56/30636",0.00729199232902777,0.0238691215570176,0.00220039066770663,"P48025",1
"GO:0071402","GO:0071402","cellular response to lipoprotein particle stimulus","1/4","57/30636",0.0074218429513524,0.0241332774113512,0.00222474204885433,"P48025",1
"GO:0090322","GO:0090322","regulation of superoxide metabolic process","1/4","58/30636",0.00755168083448121,0.0243939163798044,0.00224876922356435,"P48025",1
"GO:0032673","GO:0032673","regulation of interleukin-4 production","1/4","59/30636",0.00768150597924744,0.0245856238959214,0.00226644190700958,"P48025",1
"GO:0001945","GO:0001945","lymph vessel development","1/4","60/30636",0.00781131838648419,0.0245856238959214,0.00226644190700958,"P48025",1
"GO:0002828","GO:0002828","regulation of type 2 immune response","1/4","60/30636",0.00781131838648419,0.0245856238959214,0.00226644190700958,"P10107",1
"GO:0042119","GO:0042119","neutrophil activation","1/4","60/30636",0.00781131838648419,0.0245856238959214,0.00226644190700958,"P48025",1
"GO:0006925","GO:0006925","inflammatory cell apoptotic process","1/4","61/30636",0.00794111805702491,0.0248349615668741,0.00228942726417748,"P10107",1
"GO:0001780","GO:0001780","neutrophil homeostasis","1/4","62/30636",0.00807090499170293,0.0249233606976487,0.00229757639618157,"P10107",1
"GO:2000515","GO:2000515","negative regulation of CD4-positive, alpha-beta T cell activation","1/4","62/30636",0.00807090499170293,0.0249233606976487,0.00229757639618157,"P10107",1
"GO:0002825","GO:0002825","regulation of T-helper 1 type immune response","1/4","63/30636",0.00820067919135059,0.0250095247388394,0.00230551948498251,"P10107",1
"GO:0051602","GO:0051602","response to electrical stimulus","1/4","63/30636",0.00820067919135059,0.0250095247388394,0.00230551948498251,"P60710",1
"GO:0032508","GO:0032508","DNA duplex unwinding","1/4","64/30636",0.00833044065680177,0.0250935359661943,0.00231326411522426,"P10107",1
"GO:0045920","GO:0045920","negative regulation of exocytosis","1/4","64/30636",0.00833044065680177,0.0250935359661943,0.00231326411522426,"P10107",1
"GO:0045577","GO:0045577","regulation of B cell differentiation","1/4","65/30636",0.00846018938888904,0.0251754726663304,0.00232081750381007,"P48025",1
"GO:0045622","GO:0045622","regulation of T-helper cell differentiation","1/4","65/30636",0.00846018938888904,0.0251754726663304,0.00232081750381007,"P10107",1
"GO:0018149","GO:0018149","peptide cross-linking","1/4","66/30636",0.00858992538844572,0.0254075503959449,0.0023422117419351,"P10107",1
"GO:0002446","GO:0002446","neutrophil mediated immunity","1/4","67/30636",0.00871964865630459,0.0256368113188357,0.00236334631087991,"P48025",1
"GO:0042554","GO:0042554","superoxide anion generation","1/4","68/30636",0.00884935919329854,0.0256967841240209,0.00236887494336563,"P48025",1
"GO:0006636","GO:0006636","unsaturated fatty acid biosynthetic process","1/4","70/30636",0.0091087420780247,0.0256967841240209,0.00236887494336563,"P10107",1
"GO:1900087","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle","1/4","70/30636",0.0091087420780247,0.0256967841240209,0.00236887494336563,"P10107",1
"GO:0007187","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","1/4","71/30636",0.00923841442742235,0.0256967841240209,0.00236887494336563,"P10107",1
"GO:0033005","GO:0033005","positive regulation of mast cell activation","1/4","71/30636",0.00923841442742235,0.0256967841240209,0.00236887494336563,"P48025",1
"GO:0036230","GO:0036230","granulocyte activation","1/4","71/30636",0.00923841442742235,0.0256967841240209,0.00236887494336563,"P48025",1
"GO:0038083","GO:0038083","peptidyl-tyrosine autophosphorylation","1/4","71/30636",0.00923841442742235,0.0256967841240209,0.00236887494336563,"P48025",1
"GO:0045671","GO:0045671","negative regulation of osteoclast differentiation","1/4","71/30636",0.00923841442742235,0.0256967841240209,0.00236887494336563,"Q61554",1
"GO:0098751","GO:0098751","bone cell development","1/4","71/30636",0.00923841442742235,0.0256967841240209,0.00236887494336563,"Q61554",1
"GO:0032733","GO:0032733","positive regulation of interleukin-10 production","1/4","72/30636",0.00936807404928663,0.0256967841240209,0.00236887494336563,"P48025",1
"GO:0042092","GO:0042092","type 2 immune response","1/4","72/30636",0.00936807404928663,0.0256967841240209,0.00236887494336563,"P10107",1
"GO:0071385","GO:0071385","cellular response to glucocorticoid stimulus","1/4","72/30636",0.00936807404928663,0.0256967841240209,0.00236887494336563,"P10107",1
"GO:0010737","GO:0010737","protein kinase A signaling","1/4","73/30636",0.00949772094445134,0.0257563198386187,0.00237436328236811,"Q61554",1
"GO:0033032","GO:0033032","regulation of myeloid cell apoptotic process","1/4","73/30636",0.00949772094445134,0.0257563198386187,0.00237436328236811,"P10107",1
"GO:0043302","GO:0043302","positive regulation of leukocyte degranulation","1/4","74/30636",0.00962735511374813,0.0257563198386187,0.00237436328236811,"P48025",1
"GO:0090049","GO:0090049","regulation of cell migration involved in sprouting angiogenesis","1/4","74/30636",0.00962735511374813,0.0257563198386187,0.00237436328236811,"P10107",1
"GO:0032392","GO:0032392","DNA geometric change","1/4","75/30636",0.00975697655801033,0.0257563198386187,0.00237436328236811,"P10107",1
"GO:0043304","GO:0043304","regulation of mast cell degranulation","1/4","75/30636",0.00975697655801033,0.0257563198386187,0.00237436328236811,"P48025",1
"GO:2000516","GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","1/4","75/30636",0.00975697655801033,0.0257563198386187,0.00237436328236811,"P10107",1
"GO:0032633","GO:0032633","interleukin-4 production","1/4","77/30636",0.0100161812747624,0.0260815203849121,0.00240434210858874,"P48025",1
"GO:0033006","GO:0033006","regulation of mast cell activation involved in immune response","1/4","77/30636",0.0100161812747624,0.0260815203849121,0.00240434210858874,"P48025",1
